@relation computer2-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.34786,-0.405,0.14305,-0.23862,-0.26208,-0.59873,-0.4589,-0.04579,-0.5242,-0.43062,-0.39286,-0.36831,-0.30259,-0.16248,-0.14976,-0.17901,-0.67641,-0.42259,-0.13862,0.04051,0.20741,4.0
-0.3666,-0.43846,-1.30466,-1.00754,-0.79798,-0.67939,-0.49727,-0.81124,-0.53146,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.8235,-0.88244,-0.14498,2.64717,1.26272,5.0
-0.14169,-0.13737,-0.33014,-0.79646,-0.65465,-0.51807,-0.42053,-0.66524,-0.47045,-0.12913,-0.20883,-0.28179,-0.30259,-0.19752,-0.45247,-0.46625,-0.68165,-0.71265,2.51602,-0.67179,-3.14706,1.0
-0.12295,-0.00355,-1.1149,0.3142,-0.46771,-0.67939,-0.49727,1.18941,2.73324,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82323,-0.88123,-0.13544,1.60893,1.20003,5.0
-0.14169,-0.37155,0.47238,1.1183,0.03703,2.37768,0.99531,-0.0143,-0.45817,1.11073,0.55163,1.19209,1.39206,0.67664,2.71222,1.81773,1.50365,2.50865,-0.14339,-0.6456,-0.78805,1.0
-0.12295,-0.23773,0.32975,0.07297,-0.19353,1.25648,0.73056,0.60964,-0.33827,-0.43062,-0.39286,-0.36831,-0.30259,0.15285,-0.25066,-0.19696,1.01737,1.08107,-0.13862,-0.49855,-0.75866,1.0
-0.34786,-0.43846,0.37811,-0.53513,-0.02529,-0.67939,-0.49727,-0.79856,-0.35934,0.28541,-0.12996,-0.24471,-0.30259,-0.12745,-0.5822,-0.54703,-0.82323,-0.88228,-0.14021,-0.60894,0.90181,4.0
-0.3666,-0.43846,-1.03532,-0.85677,-0.78551,-0.67939,-0.49727,-0.75137,-0.61673,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.55337,-0.51113,-0.82323,-0.88123,-0.14021,1.13957,0.9563,5.0
-0.17918,-0.30464,0.87394,0.00764,0.1118,-0.27609,-0.34379,0.00334,0.11553,-0.43062,-0.39286,-0.36831,-0.30259,0.85182,0.65528,0.32186,-0.0245,-0.22616,-0.14021,-0.1279,-0.5163,2.0
-0.34786,-0.405,-1.22019,-0.9422,-0.68581,-0.67939,-0.49727,-0.78734,0.05706,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82149,-0.88123,-0.14817,1.57912,1.21328,5.0
-0.17918,-0.27119,-0.01183,0.97256,0.26759,-0.35675,-0.11357,1.71935,3.78428,0.43615,0.1198,-0.04078,-0.20701,0.18788,-0.51012,-0.47522,-0.43868,-0.50427,3.58964,-0.6734,-3.14705,1.0
-0.3666,-0.43846,-1.22508,-0.58036,-0.79798,-0.67939,-0.49727,-0.45477,-0.57835,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.22111,-0.32218,-0.8457,-0.8328,-0.14658,-0.06706,1.08101,5.0
-0.34786,-0.43846,-1.00165,-0.706,-0.71697,-0.67939,-0.49727,-0.41678,-0.55474,-0.31756,-0.34028,-0.34359,-0.30259,-0.16248,-0.4813,-0.4842,-0.81449,-0.82469,0.8857,-0.67179,-3.14706,1.0
-0.14169,-0.37155,1.22775,0.27902,-0.11876,-0.43741,-0.38216,0.70981,-0.41377,0.43615,1.64466,5.85475,4.4457,-0.12745,0.85925,0.55703,-0.05763,0.71457,-0.14817,-0.6593,-0.59757,2.0
0.027,0.16372,-0.97227,-0.84169,-0.64219,0.60716,0.11473,-0.43694,-0.12314,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.32346,-0.24229,1.29424,1.06756,-0.14339,1.79144,1.23386,2.0
0.64551,1.60224,1.53505,1.00271,0.18658,3.35369,5.45002,0.95986,-0.4069,1.1145,3.55072,3.84631,3.63886,0.0127,-0.09211,-0.1072,2.08362,3.19415,-0.1418,-0.65366,-0.58556,1.0
-0.32912,-0.43846,0.53114,1.10323,0.24266,-0.59873,-0.26705,0.2558,0.68605,0.13467,-0.11681,-0.23853,-0.30259,-0.09241,-0.20742,-0.12515,-0.67466,-0.55977,-0.12113,-0.61418,0.50165,3.0
0.1582,-0.10392,1.52097,0.50015,0.18658,1.57913,0.27012,1.40628,-0.21049,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.26508,-0.2957,2.16752,1.84651,-0.10204,-0.19437,0.51131,1.0
0.027,-0.00355,2.0823,1.34446,0.92811,-0.59873,-0.4589,0.67871,-0.24798,2.24507,1.6578,1.11484,1.24363,0.04774,0.5133,1.38284,-0.52608,0.02348,-0.1426,-0.51789,-0.77465,2.0
0.027,-0.10392,0.95229,0.14333,0.72247,0.20788,-0.0752,-0.35797,-0.01186,-0.16682,0.44844,-0.10876,-0.29135,0.64336,0.68627,0.44034,-0.11356,0.20149,-0.09886,-0.57228,-0.04237,3.0
-0.34786,-0.43846,0.00409,0.25389,0.47945,-0.51807,-0.38216,-0.79085,-0.50604,-0.35525,-0.36657,-0.31887,-0.21825,-0.19752,-0.53895,-0.5201,-0.67466,-0.57547,-0.14817,-0.64923,-0.74329,3.0
-0.19792,-0.43846,0.43871,0.57553,-0.0876,0.04656,-0.11357,3.92457,-0.14294,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.49571,-0.47522,0.37936,0.20044,-0.1426,-0.5477,-0.60236,3.0
1.45145,3.24149,-0.57254,0.08302,0.12426,-0.35675,-0.11357,0.16712,-0.18399,-0.05376,-0.23512,-0.29415,-0.30259,-0.02234,-0.4813,-0.4842,-0.32332,-0.41945,-0.14817,-0.63029,-0.49807,3.0
-0.19792,-0.17082,-0.20036,-0.41451,0.66016,-0.67939,-0.49727,-0.53587,-0.51873,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.4813,-0.44829,-0.74283,-0.77128,-0.14817,-0.47075,-0.76338,4.0
-0.29163,-0.405,-0.77026,-0.77133,-0.49887,-0.35675,-0.38216,-0.63624,-0.14569,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.55405,-0.67704,-0.13703,-0.1698,0.51723,4.0
-0.29163,-0.37155,-1.01512,-0.73113,-0.43033,-0.51807,-0.42053,-0.79941,-0.52447,-0.35525,-0.36657,-0.35595,-0.30259,-0.19752,-0.56778,-0.53806,-0.53045,-0.64521,-0.14817,-0.56986,-0.56717,5.0
-0.2354,-0.30464,-0.42379,-0.49492,-0.45525,-0.59873,-0.4589,-0.38841,-0.25606,2.62193,1.05312,0.91709,0.36088,2.11488,1.03222,1.39181,-0.59076,-0.0205,1.52987,-0.67461,-3.14705,1.0
0.06448,0.23063,-0.13364,1.29923,0.09934,-0.67939,-0.49727,2.35646,4.6354,-0.43062,-0.39286,-0.36831,-0.30259,-0.16248,-0.04886,-0.21491,-0.73059,-0.69903,5.68918,-0.6726,-3.14706,1.0
-0.04798,-0.33809,0.84088,-0.05267,0.0121,0.04656,-0.11357,0.2498,-0.05781,0.5869,0.35642,0.61428,0.68136,0.18788,-0.40922,-0.38546,0.27448,0.46013,-0.13067,-0.64641,0.471,2.0
-0.21666,-0.37155,-0.69252,-0.08785,0.20527,-0.27609,-0.26705,-0.29796,-0.48994,-0.43062,-0.39286,-0.36831,-0.30259,-0.12745,0.16735,0.35058,-0.32681,-0.40584,-0.14021,-0.40992,-0.84551,4.0
0.57054,1.83642,0.1106,-0.43462,-0.43656,-0.67939,-0.49727,-0.77016,-0.52193,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,1.87258,0.99956,-0.82026,-0.44773,-0.12908,-0.58839,-0.73288,4.0
-0.27289,-0.37155,-1.09164,-0.80149,-0.66089,-0.51807,-0.42053,-0.77514,-0.41466,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.55337,-0.52908,-0.68864,-0.76291,-0.14578,-0.48002,-0.6905,5.0
-0.34786,-0.43846,0.03898,-0.27882,-0.43033,-0.43741,-0.38216,-0.58319,-0.26448,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.43519,-0.60584,-0.14658,-0.50903,1.01845,3.0
-0.06672,-0.30464,-0.19792,0.0981,-0.19353,-0.59873,-0.4589,1.38032,-0.12938,3.33796,3.83992,3.96373,2.78141,0.11781,0.47006,2.17274,-0.45092,0.67269,-0.14817,-0.65245,-0.78436,2.0
-0.04798,-0.10392,-0.14344,0.75646,0.3299,0.53053,1.19099,2.78476,1.9533,-0.43062,-0.39286,-0.36831,-0.30259,0.08277,3.56916,2.28045,0.1731,1.06431,-0.12431,-0.42361,-0.68863,2.0
-0.19792,-0.17082,-0.48807,-0.54518,-0.38671,-0.59873,-0.4589,-0.33525,-0.173,0.51341,0.25257,-0.0896,-0.22374,0.29474,-0.19229,-0.12426,-0.61977,-0.7006,-0.14021,-0.64923,-0.57075,4.0
-0.32912,-0.43846,-1.18162,-0.8819,-0.84159,0.12722,-0.11357,-0.56017,-0.58444,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.42364,-0.39489,0.73953,-0.06731,-0.14658,1.84019,1.22499,3.0
0.23317,1.03352,-1.31874,-1.01759,-0.87275,-0.67939,-0.49727,-0.79346,-0.61767,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82149,-0.88228,-0.14817,2.33131,1.30345,5.0
0.19568,0.43135,0.63582,-0.21349,-0.0876,0.04656,-0.15194,-0.68299,-0.429,-0.16682,-0.30084,-0.21412,-0.16231,-0.02234,-0.12165,-0.1081,0.15169,0.13123,-0.13544,-0.63755,-0.58016,3.0
0.06448,-0.43846,1.55892,2.13348,2.3177,3.10364,1.41737,0.80197,-0.48318,0.92418,0.64364,1.39572,1.22085,-0.19752,-0.25138,-0.144,2.82764,2.85771,-0.13624,-0.62989,-0.77134,1.0
-0.02923,0.13026,-1.08062,-0.26877,-0.48641,-0.35675,0.0399,0.11555,1.07187,-0.43062,-0.39286,-0.36831,-0.30259,3.62145,-0.53895,-0.5201,-0.64319,-0.53568,-0.13862,0.96231,1.18241,3.0
-0.32912,-0.43846,1.21551,0.29913,0.47322,-0.27609,-0.03492,-0.14505,1.38418,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,0.19762,-0.04347,-0.3886,0.66656,-0.13226,-0.37366,-0.75466,1.0
-0.34786,-0.43846,-1.17244,-0.80651,-0.7045,-0.67939,-0.49727,-0.77823,-0.55948,-0.27988,-0.34028,-0.21381,-0.13673,-0.16248,-0.56778,-0.53806,-0.76905,-0.87076,-0.13544,-0.63634,0.90987,5.0
-0.2354,-0.405,0.95413,-0.0979,0.18035,-0.11476,0.19338,-0.04483,0.36124,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.35157,-0.35853,0.20981,0.08735,-0.12272,-0.37809,0.44407,1.0
-0.2354,-0.37155,2.71464,1.24394,1.43285,0.04656,-0.11357,-0.28264,2.93839,2.84239,3.3726,2.51179,2.22533,-0.05737,4.30862,3.02726,0.32614,0.82201,-0.14817,-0.6029,-0.80838,1.0
-0.14169,-0.33809,-0.35952,-0.3341,-0.39294,-0.11476,-0.22868,0.52489,1.38593,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.38111,-0.29615,-0.17282,-0.11542,-0.12272,0.24638,0.54964,4.0
-0.34786,-0.43846,-1.09409,-0.88692,-0.75436,0.04656,-0.22868,-0.74338,-0.54758,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.28661,-0.41841,-0.14021,-0.31685,1.0359,3.0
