@relation machine10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.68324,1.32311,1.72291,0.95485,1.07118,-0.08724,9.0
-0.16838,-0.48159,-0.66483,-0.42349,-0.54261,-0.16417,5.0
0.44638,-0.67341,-0.7501,-0.52194,-0.54261,-0.58729,3.0
-0.59103,0.29185,0.35849,0.97946,-0.54261,-0.39496,8.0
0.75376,-0.22378,-0.66483,-0.62039,-0.54261,-0.66422,4.0
-0.59103,-0.22378,-0.32372,-0.42349,-0.24919,-0.47189,5.0
2.6749,-0.22378,-0.66483,-0.62039,-0.24919,-0.47189,4.0
-0.33744,-0.22378,-0.32372,0.16723,0.04422,0.37435,7.0
0.36954,-0.64041,0.01738,-0.47271,-0.54261,0.22049,6.0
-0.56413,0.29185,1.0407,0.95485,1.07118,-0.08724,9.0
-0.09153,-0.60741,-0.66483,-0.62039,-0.54261,-0.58729,2.0
-0.59103,-0.06393,-0.11224,0.118,1.07118,0.22049,6.0
-0.53724,0.61154,0.78231,0.118,1.07118,0.22049,9.0
-0.69477,3.38564,1.72291,0.95485,1.65801,0.52821,10.0
3.44335,-0.54141,-0.83538,-0.62039,-0.54261,-0.66422,1.0
-0.67172,1.32311,1.72291,0.16723,0.48435,0.52821,9.0
-0.43734,-0.67341,-0.92066,-0.62039,-0.24919,-0.31803,1.0
-0.42965,-0.22378,-0.32372,0.16723,-0.54261,-0.47189,6.0
-0.24522,-0.22378,-0.66483,-0.42349,-0.54261,0.06662,2.0
0.139,-0.60741,-0.92066,-0.42349,-0.54261,-0.58729,1.0
-0.59103,-0.22378,0.35849,-0.42349,-0.24919,-0.51036,5.0
0.36954,-0.48159,0.35849,-0.42349,-0.3959,3.60545,5.0
-0.01469,-0.60741,-0.32372,-0.42349,-0.54261,-0.39496,6.0
