@relation machine10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.35281,-0.48159,-0.92066,-0.62039,-0.54261,-0.54882,1.0
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,1.0
3.44335,-0.54141,-0.83538,-0.62039,-0.54261,-0.66422,1.0
0.48481,-0.48159,-0.7501,-0.62039,-0.3959,-0.54882,1.0
1.52222,-0.54141,-0.83538,-0.62039,-0.54261,-0.66422,1.0
-0.39892,-0.48159,-0.32372,-0.62039,-0.3959,-0.47189,1.0
-0.09153,-0.67186,-0.66483,-0.62039,-0.54261,-0.58729,2.0
-0.14148,-0.60431,-0.83538,-0.42349,-0.10248,-0.1257,2.0
2.32909,-0.48159,-0.57955,-0.62039,-0.54261,-0.66422,2.0
2.29067,-0.54141,-0.83538,-0.62039,-0.68932,-0.70269,2.0
0.44638,-0.70641,-0.49428,-0.62039,-0.54261,-0.2411,2.0
1.90645,-0.67341,-0.83538,-0.62039,-0.54261,-0.66422,2.0
0.08137,-0.48159,-0.66483,-0.57117,-0.24919,-0.47189,3.0
-0.36049,-0.48159,-0.66483,-0.22658,-0.54261,-0.62575,3.0
-0.3797,-0.67341,-0.83538,-0.62039,-0.24919,-0.31803,3.0
0.44638,-0.67341,-0.57955,-0.52194,-0.54261,-0.47189,3.0
-0.59103,-0.22378,-0.66483,-0.62039,-0.24919,-0.47189,3.0
-0.2068,-0.60741,-0.66483,-0.62039,0.48435,4.2209,3.0
-0.3797,-0.48159,-0.66483,-0.62039,-0.24919,0.22049,4.0
-0.3797,-0.22378,-0.66483,-0.42349,-0.24919,0.02816,4.0
-0.2337,0.05982,-0.47722,-0.62039,0.04422,0.06662,4.0
-0.3797,-0.22378,-0.49428,-0.22658,0.19093,-0.08724,4.0
-0.59103,-0.48159,-0.32372,-0.42349,-0.24919,-0.51036,4.0
0.75376,-0.48159,-0.7501,-0.62039,-0.54261,-0.62575,4.0
0.75376,-0.60741,-0.70747,-0.52194,-0.54261,-0.47189,5.0
-0.34128,-0.22378,-0.66483,-0.57117,-0.54261,-0.51036,5.0
-0.56798,0.29185,0.01738,-0.62039,-0.54261,-0.39496,5.0
-0.34128,-0.60741,-0.49428,-0.22658,-0.54261,-0.47189,5.0
-0.59103,-0.22378,0.35849,-0.32503,-0.24919,-0.08724,5.0
-0.4066,-0.48159,-0.32372,0.16723,-0.3959,-0.39496,5.0
-0.34128,-0.22378,-0.32372,-0.22658,-0.54261,-0.58729,6.0
-0.59103,-0.22378,0.35849,-0.42349,-0.24919,-0.47189,6.0
0.36954,-0.64041,0.01738,-0.47271,-0.54261,0.22049,6.0
-0.36049,-0.48159,0.01738,-0.22658,-0.54261,-0.62575,6.0
-0.2337,-0.14643,-0.47722,-0.62039,0.19093,1.75911,6.0
-0.42965,-0.22378,-0.32372,0.16723,-0.54261,-0.47189,6.0
1.06115,-0.60741,-0.32372,0.16723,-0.68932,-0.70269,7.0
-0.59103,-0.22378,0.35849,-0.02968,-0.54261,-0.47189,7.0
-0.27212,-0.48159,0.01738,-0.39887,-0.24919,-0.2411,7.0
-0.51418,0.29185,0.01738,-0.42349,0.19093,-0.39496,7.0
-0.07232,-0.22378,0.35849,-0.22658,-0.54261,-0.47189,7.0
-0.59103,-0.22378,0.35849,-0.02968,-0.54261,-0.47189,7.0
-0.63714,1.32311,0.35849,0.95485,-0.10248,-0.39496,8.0
-0.56798,0.61154,0.78231,0.118,1.07118,0.22049,8.0
-0.55645,0.29185,0.01738,0.16723,0.19093,-0.2411,8.0
-0.36049,0.54967,-0.57955,2.87467,0.48435,1.75911,8.0
-0.56413,0.29185,0.35849,-0.59578,0.19093,-0.2411,8.0
-0.71782,0.29185,0.35849,0.16723,0.19093,-0.2411,8.0
-0.63714,1.32311,1.0407,3.31771,-0.10248,-0.39496,9.0
-0.24522,-0.22378,1.72291,0.16723,-0.54261,1.37445,9.0
-0.5065,0.29185,0.35849,0.95485,0.48435,-0.08724,9.0
-0.24522,-0.22378,1.72291,0.16723,-0.54261,1.37445,9.0
-0.62945,1.32311,0.35849,0.16723,0.48435,-0.08724,9.0
-0.67172,1.32311,1.72291,0.16723,0.48435,0.52821,9.0
-0.59103,-0.22378,1.72291,2.13628,6.93949,3.29773,10.0
-0.63714,1.32311,1.72291,0.95485,0.48435,0.22049,10.0
-0.69477,3.38564,1.72291,0.95485,1.65801,0.52821,10.0
-0.59103,0.29185,1.72291,2.13628,6.93949,3.29773,10.0
-0.68324,3.38564,1.72291,0.95485,1.65801,0.22049,10.0
