@relation census2-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.11715,-0.8086,-0.42394,2.69117,0.32568,0.36951,-0.35527,0.79739,3.96448,-0.31971,4.39208,-0.41082,0.32971,1.8699,-1.19221,-1.48234,4.0
-0.09606,-0.55671,-0.31209,0.27915,0.90363,-0.47966,-0.35527,-1.23984,0.22994,0.16345,-0.65547,-0.33134,0.15502,1.44962,-0.3253,1.53284,9.0
0.0103,-0.52213,-0.36461,1.25203,0.78509,-0.43759,0.40891,-0.07949,-0.25998,0.1188,-0.81923,-0.33595,0.29574,-0.7922,-0.99822,-0.1118,9.0
-0.09469,-1.27179,-0.39864,1.49926,2.56287,-4.04603,1.8524,-3.38142,0.61926,2.93722,0.93133,-0.40116,0.3027,3.0522,-1.08883,-0.47728,9.0
-0.11693,0.55536,-0.1114,0.77696,2.18296,-0.02541,-0.35527,-0.83967,-0.7037,-0.31971,1.18798,-0.24052,0.32971,-0.51217,2.97144,-1.48234,2.0
-0.1174,-0.07206,-0.42394,-0.21419,-0.78704,1.03528,-0.35527,1.27721,-0.7037,-1.12498,2.31323,-0.41082,0.32971,-0.78354,-1.19221,1.53284,1.0
-0.11508,2.34406,-0.42394,-1.81897,-1.96937,0.54951,-0.35527,0.38812,-0.7037,0.56608,1.20433,-0.41082,-0.54571,0.06935,0.54264,-1.48234,3.0
-0.11681,0.00499,-0.42394,0.47046,1.44393,0.43911,-0.35527,-0.13276,-0.7037,-1.12498,0.55969,-0.41082,0.32971,-1.29045,0.39394,1.53284,2.0
-0.05129,-0.20944,-0.38954,0.32522,0.36958,-0.41838,-0.31221,-0.96826,-0.27886,0.72548,-0.83832,-0.39144,0.27551,-0.1563,-0.8599,-0.97981,9.0
-0.05147,0.07961,-0.30696,-0.97928,-1.23719,0.66076,-0.33957,0.77508,-0.23908,-0.10313,-0.14747,-0.29641,0.28822,-0.63949,-0.89122,-0.54659,9.0
-0.04185,-0.33883,-0.4082,0.06882,0.00326,-0.12614,-0.12529,-0.33521,1.03864,0.44851,-0.5968,-0.3996,-1.08759,0.79004,0.02061,-0.38591,8.0
-0.11783,-2.44826,-0.42394,4.04495,2.26618,-2.14241,-0.35527,-1.8401,-0.7037,2.63294,6.69789,-0.41082,0.32971,-0.48503,-1.19221,-1.48234,8.0
0.69588,-0.5241,0.78694,-0.60463,-0.56208,-0.82145,-0.20496,-1.43227,-0.33945,1.10114,-0.65734,0.85599,0.05887,0.51576,-0.90838,-0.30454,10.0
-0.11766,1.63712,-0.42394,2.67719,3.73624,-1.8146,-0.35527,-2.47673,-0.7037,-0.06807,1.53128,-0.41082,0.32971,0.26804,-1.19221,1.53284,2.0
-0.11708,-0.75177,-0.35492,0.16384,0.56994,0.0389,-0.35527,-1.00338,-0.7037,-0.15866,1.05448,-0.20646,0.32971,0.70902,2.50881,1.53284,2.0
0.03708,1.66166,-0.37159,-0.98101,-0.48141,-6.51127,6.76663,-3.17819,-0.24649,6.24918,-0.45835,-0.36634,0.28693,1.53012,-0.43946,-0.03505,7.0
-0.11699,4.24608,-0.42394,-0.6967,-0.78704,-1.95076,-0.35527,-2.9413,4.59532,2.53137,1.80656,-0.41082,0.05931,5.0459,1.27514,-1.48234,1.0
-0.11646,-1.39102,-0.42394,0.77525,1.29249,-0.69795,-0.35527,-1.53603,-0.7037,-1.12498,1.20944,-0.41082,0.32971,1.28569,-1.19221,0.02525,1.0
-0.09143,-0.00672,-0.42023,0.25242,0.48779,-0.14813,-0.05427,-0.57205,-0.43548,-0.61604,-0.29438,-0.41082,0.32971,0.71278,-0.43417,-0.8793,3.0
0.22978,0.55194,-0.3581,-1.00461,-1.25853,0.50742,-0.2147,0.87548,0.31078,1.06461,-0.77828,-0.34763,0.14916,-1.01933,0.072,-0.60291,10.0
-0.08287,0.15488,-0.31116,-0.54561,-0.16767,-0.01622,-0.0232,-0.14736,0.44153,0.45545,-0.56199,-0.29384,0.24789,0.36318,-0.41886,-0.72854,10.0
0.00351,0.77387,-0.27148,-0.58704,-0.71995,0.41851,-0.35527,0.44373,0.28298,1.1241,-0.82143,-0.26684,-1.45043,0.42717,0.53032,-0.79707,10.0
0.02004,-1.39481,1.86601,1.12828,0.8259,-0.96571,0.27539,-1.18237,-0.40611,0.28674,-0.01174,1.69169,0.28162,0.51699,-0.5717,-0.44856,8.0
