@relation census2-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.11,0.02601,-0.08264,-0.07232,0.46269,0.17536,-0.35527,-0.12849,-0.7037,-0.57053,-0.23021,-0.147,0.2887,-0.48726,-0.24727,1.53284,4.0
-0.0883,2.20896,0.91323,-0.00929,-0.69871,-0.31807,1.78627,1.5053,-0.32519,-0.01502,-0.91757,0.95617,0.29108,-1.409,1.2326,-1.48234,9.0
-0.05726,-0.31886,-0.41245,0.06568,-0.07448,-0.55429,0.29766,-0.62856,1.57758,0.64588,-0.73072,-0.40157,0.23917,1.11481,-0.5188,-0.8123,9.0
0.01121,0.52783,-0.40534,-0.93043,-0.93254,0.79496,-0.05499,1.25141,0.91603,0.05916,-0.66896,-0.39112,-2.90944,0.76033,0.86146,0.52778,9.0
-0.11233,-0.71022,-0.42394,0.88016,1.36817,0.08955,-0.35527,-0.63384,-0.7037,-1.12498,-0.62152,-0.41082,0.32971,-0.14983,-0.59204,-1.48234,2.0
-0.10905,-0.62419,-0.37094,1.54236,1.37363,-1.14626,1.03203,-0.88275,0.03339,-0.74354,0.21736,-0.41082,0.25448,0.25201,-0.57537,-1.48234,1.0
-0.1106,-1.03419,-0.3986,0.03042,-0.30644,0.38232,0.30787,0.66328,-0.7037,-0.74282,-0.49107,-0.41082,0.32971,-0.60888,0.06474,0.02525,3.0
-0.10303,-0.61108,-0.42394,-0.49259,0.29805,0.76599,-0.35527,0.74048,-0.7037,-0.49196,-0.23556,-0.41082,0.32971,-0.03179,-0.27963,0.02525,2.0
-0.11148,-2.24442,-0.40969,3.14815,3.90793,-4.83808,5.72348,-2.10574,-0.7037,3.25475,-0.52967,-0.35936,0.32971,0.0592,-0.95597,-1.48234,9.0
-0.10269,-0.19586,-0.4176,-0.62037,-0.66052,0.42769,0.47525,1.36967,-0.7037,-0.18288,-0.81256,-0.41082,0.27397,-1.12018,-0.18284,0.52778,9.0
2.56337,0.04039,0.33031,-0.33045,-0.22897,-0.93465,0.21258,-1.15324,0.58305,1.30937,-0.38917,0.29943,0.05291,0.9022,-0.1721,-0.36595,8.0
0.06272,-0.40889,-0.41062,0.01044,0.28343,-0.10841,-0.17953,-0.47615,-0.12703,0.0474,-0.80187,-0.3988,0.29608,-0.29315,-0.68578,0.46866,8.0
-0.11633,0.55536,-0.42394,-0.76013,-0.6941,1.52951,-0.35527,2.40413,-0.7037,-1.12498,-1.04345,-0.41082,0.32971,-2.2761,4.35932,-1.48234,10.0
-0.11769,1.11556,-0.42394,-0.48347,-1.49067,0.7506,-0.35527,0.52454,-0.7037,-1.12498,2.38952,-0.41082,0.32971,0.2115,-1.19221,-1.48234,2.0
-0.11652,-0.97781,-0.42394,0.85982,0.03087,0.26562,-0.35527,-0.22577,-0.7037,-1.12498,0.38696,-0.41082,0.15105,-0.46694,-1.19221,1.53284,2.0
-0.10854,1.72166,-0.42394,-1.15062,-1.21861,1.28228,-0.35527,1.47479,-0.7037,-0.34748,-0.29419,-0.41082,0.21471,-1.56536,1.91665,0.40215,7.0
-0.11496,-0.24221,-0.42394,0.28014,0.84353,0.06112,-0.35527,-1.0937,-0.7037,-0.73623,0.01622,-0.41082,0.21471,-0.06772,-0.68753,0.02525,1.0
-0.11625,0.65924,-0.42394,-0.22626,0.20808,1.37423,-0.35527,1.87785,-0.7037,-1.12498,0.25871,-0.41082,0.32971,-0.86074,1.0284,-1.48234,1.0
-0.05311,-0.02693,-0.42241,-0.74515,-0.32864,0.74132,-0.35527,0.70561,0.95787,-0.4415,-0.40642,-0.41082,0.21231,0.63643,0.56421,0.36027,3.0
-0.06845,0.85957,-0.39985,-1.64156,-1.86056,1.41285,-0.35527,2.03533,0.22223,-0.28644,-0.45798,-0.38548,0.2234,-1.80503,1.13943,-0.43862,10.0
-0.0074,0.59178,0.00234,-1.75351,-1.60302,0.54372,-0.34106,0.89423,0.01129,1.46506,-0.66523,0.00071,0.1108,-1.77394,0.80892,-1.40085,10.0
-0.05635,-0.22949,-0.40292,0.45048,-0.09373,1.11248,-0.35527,1.40336,-0.7037,-0.73679,-0.87712,-0.39542,0.10722,-1.71337,0.19567,-0.47728,10.0
-0.11097,-0.48196,-0.41066,-0.14412,-0.15446,-0.47132,-0.35527,-0.76317,0.21249,1.40371,-0.78597,-0.41082,0.2362,0.23411,-0.80034,1.53284,8.0
-0.04092,-0.71777,-0.41358,0.06315,0.49826,-0.17366,0.65203,0.30543,-0.19838,-0.6194,-0.43349,-0.39976,0.31939,0.24269,-0.5845,0.25719,6.0
-0.01212,0.2242,-0.24057,-1.02466,-1.34061,1.07178,-0.35527,1.55495,-0.39297,-0.28079,-0.47075,-0.22662,0.26629,-1.64564,-0.18284,-0.55212,9.0
-0.10183,0.31317,-0.00869,-0.50181,0.31748,1.03985,-0.35527,1.19921,-0.19444,-0.86144,-0.05547,0.14652,0.30372,-0.38437,-0.01103,-1.48234,1.0
-0.11795,1.76194,-0.42394,-0.12496,-0.18394,-1.03008,-0.35527,-1.8401,-0.7037,0.75398,1.59994,-0.41082,0.32971,0.112,-1.19221,1.53284,2.0
-0.05339,-0.37291,-0.3344,0.23032,0.37054,-0.73842,-0.35527,-1.55707,-0.16297,0.68454,-0.63493,-0.27274,0.24693,0.34671,-0.53663,0.02525,9.0
-0.11411,-0.19669,-0.40125,0.00601,0.16196,0.45196,-0.35527,0.21672,-0.7037,-0.54684,0.61864,-0.41082,0.15869,-0.12135,0.54264,-0.47728,4.0
-0.09471,0.13575,-0.41972,1.01862,-0.17421,-0.22597,-0.35527,-0.33432,-0.41954,0.83567,5.69541,-0.40045,0.27171,-0.07843,-0.43086,1.3249,10.0
-0.10493,-0.23154,-0.42394,-0.1111,-0.15897,0.83604,-0.35527,0.69856,-0.7037,-0.91556,-0.92796,-0.41082,0.32971,-1.11218,-0.47588,-1.48234,8.0
-0.0921,-0.99338,-0.42394,1.25914,1.48736,-0.56046,0.53071,-0.67691,-0.7037,-0.73511,-0.1006,-0.41082,0.32971,-0.14664,-0.13181,0.67136,2.0
-0.07939,-0.42384,-0.42137,0.1412,0.39264,0.06869,0.25662,0.10773,0.13061,-0.5493,-0.70455,-0.41082,-0.17053,-0.72996,0.21115,0.8628,6.0
-0.1151,-0.34293,-0.39475,0.04351,0.35509,0.59912,-0.35527,0.24488,-0.7037,-0.27945,0.7684,-0.41082,-1.04595,-0.01465,1.0284,0.02525,3.0
-0.09893,-0.34304,-0.42394,0.00232,0.64544,0.15012,-0.35527,-0.14161,0.77604,-0.04015,-0.42739,-0.41082,0.32971,0.15885,-0.50258,0.67136,6.0
-0.11428,1.16939,-0.42394,-0.35631,0.46942,0.26191,-0.35527,-0.14241,1.11172,-0.1855,0.30522,-0.41082,0.32971,0.74456,1.14528,1.53284,1.0
0.13094,0.35683,-0.3558,-1.36924,-1.13701,0.90937,-0.23814,1.18177,0.41622,0.09623,-0.78313,-0.35537,-0.65403,-0.86674,0.80012,-0.40549,8.0
-0.09642,0.17856,0.69479,-0.14333,0.03151,0.04304,-0.08152,-0.14241,-0.01212,-0.05129,0.23738,0.83803,0.22384,0.14703,0.5229,0.12576,4.0
-0.10087,0.55536,-0.40687,-0.93725,-1.05285,1.10664,-0.35527,1.18603,-0.7037,-0.85584,-0.6822,-0.39184,0.32971,-1.40037,1.18702,-1.48234,7.0
-0.09365,-0.93668,-0.4199,0.61538,0.8223,-0.90375,0.39548,-1.01888,-0.41366,0.52606,-0.28562,-0.41082,0.28531,0.68871,-0.81583,0.71052,7.0
-0.11596,0.7399,-0.42394,1.6915,1.42614,-1.013,-0.35527,-1.92731,4.66792,0.26493,1.64066,-0.41082,0.32971,-0.44698,0.2882,1.53284,1.0
-0.08235,-0.27366,-0.41283,-0.52517,-0.24641,0.58091,-0.35527,0.46998,-0.05733,-0.41882,-0.51461,-0.40296,0.31871,-0.75103,0.03345,-0.19012,6.0
-0.11649,1.83344,-0.42394,-1.39258,-1.57497,1.31496,-0.35527,2.1616,-0.7037,0.48555,-0.8239,-0.41082,0.32971,1.36852,0.95677,-1.48234,7.0
-0.0856,-0.8614,5.83869,-0.77699,-0.78704,0.65635,-0.27536,0.49044,0.17159,0.33457,-0.46329,6.40108,0.15105,0.50682,0.77701,-0.27627,6.0
