@relation toy-ordinal-weka.filters.supervised.instance.StratifiedRemoveFolds-S415563834-V-N4-F1

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5}

@data
0.78916,0.4887,3
0.41434,0.45077,3
0.48329,0.92331,3
0.44439,0.25767,3
0.45428,0.33706,3
0.51963,0.12806,3
0.50191,0.77276,3
0.45782,0.04314,3
0.45648,0.3456,3
0.35428,0.49382,3
0.50856,0.495,3
0.68817,0.57834,3
0.7423,0.51129,3
0.45343,0.1214,3
0.5059,0.69643,3
0.3877,0.41387,3
0.97423,0.5432,3
0.85414,0.53746,3
0.56273,0.40084,3
0.70688,0.59994,3
0.13844,0.057069,5
0.16598,0.18197,5
0.91389,0.79736,5
0.87687,0.99768,5
0.8519,0.94896,5
0.80414,0.9634,5
0.88583,0.84385,5
0.66585,0.29556,2
0.55236,0.25757,2
0.95441,0.45151,2
0.080171,0.57122,2
0.78026,0.25449,2
0.16481,0.54812,2
0.033257,0.57951,2
0.47008,0.94685,2
0.90869,0.3058,2
0.16625,0.55572,2
0.63675,0.19243,2
0.37505,0.62104,2
0.60546,0.022458,2
0.70593,0.43841,2
0.45941,0.98241,2
0.41206,0.78268,2
0.81716,0.42602,2
0.44754,0.70888,2
0.41563,0.80606,2
0.097105,0.74012,2
0.97581,0.35153,2
0.60463,0.36846,2
0.19368,0.90944,1
0.90364,0.008141,1
0.77535,0.050562,1
0.99909,0.069148,1
0.1538,0.90922,1
0.020626,0.83245,1
0.15261,0.99562,1
0.872,0.04329,1
0.90211,0.14369,1
0.40146,0.13124,4
0.40407,0.08235,4
0.1888,0.28186,4
0.93611,0.72345,4
0.5902,0.98591,4
0.64343,0.71977,4
0.76985,0.83654,4
0.70493,0.73307,4
0.71055,0.7378,4
0.64021,0.90955,4
0.69101,0.91796,4
0.58132,0.8819,4
0.97992,0.66519,4
0.70509,0.78691,4
0.35489,0.2831,4
0.21131,0.3085,4
0.6995,0.9315,4
0.76472,0.50544,3
0.48145,0.77831,3
0.77524,0.46723,3
0.6069,0.48444,3
0.70016,0.54921,3
0.52025,0.49366,3
0.57385,0.40405,3
0.52608,0.91331,3
0.99152,0.49241,3
0.064857,0.44928,3
0.47602,0.29086,3
0.30128,0.49926,3
0.75376,0.51658,3
0.65778,0.58573,3
0.40385,0.37688,3
0.42867,0.33358,3
0.51944,0.11964,3
0.56876,0.45172,3
0.61177,0.66819,3
0.87103,0.93255,5
0.070224,0.15881,5
0.89699,0.95793,5
0.86232,0.88763,5
0.99842,0.80255,5
0.010545,0.11348,5
0.71319,0.97197,5
0.024496,0.20777,5
0.41558,0.86232,2
0.056894,0.71508,2
0.29019,0.91512,2
0.74931,0.3644,2
0.039185,0.66149,2
0.29481,0.78418,2
0.83815,0.39471,2
0.92795,0.3365,2
0.74673,0.27155,2
0.59779,0.30524,2
0.26925,0.6309,2
0.39493,0.99793,2
0.339,0.67065,2
0.41907,0.87125,2
0.67025,0.22356,2
0.37972,0.93307,2
0.58668,0.35135,2
0.25588,0.59506,2
0.39123,0.83802,2
0.70564,0.22936,2
0.11155,0.61442,2
0.54468,0.1553,2
0.019382,0.93832,1
0.83715,0.011609,1
0.066426,0.86221,1
0.87143,0.069843,1
0.17482,0.85284,1
0.92369,0.045739,1
0.93545,0.073785,1
0.074228,0.77711,1
0.11247,0.8134,1
0.20858,0.17285,4
0.92458,0.64322,4
0.03116,0.35045,4
0.36105,0.12946,4
0.82494,0.64959,4
0.19576,0.2489,4
0.7736,0.61679,4
0.28639,0.37805,4
0.88071,0.61324,4
0.10017,0.3509,4
0.6837,0.99276,4
0.049606,0.30457,4
0.61517,0.92539,4
0.32814,0.20918,4
0.23868,0.38973,4
0.30528,0.10141,4
0.61756,0.92275,4
