@relation toy-ordinal-weka.filters.supervised.instance.StratifiedRemoveFolds-S415563834-V-N4-F1

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5}

@data
0.23393,0.46577,3
0.55123,0.32701,3
0.42375,0.36931,3
0.50817,0.0878,3
0.5236,0.63046,3
0.092472,0.47247,3
0.55197,0.44243,3
0.26351,0.43182,3
0.49542,0.014818,3
0.4192,0.218,3
0.4709,0.038463,3
0.77788,0.47279,3
0.45038,0.58985,3
0.51862,0.090424,3
0.27265,0.48644,3
0.62095,0.64853,3
0.23028,0.45541,3
0.41635,0.51793,3
0.48468,0.47292,3
0.42973,0.53427,3
0.1584,0.16417,5
0.9795,0.96547,5
0.96605,0.90717,5
0.82474,0.81971,5
0.77038,0.90998,5
0.79299,0.84561,5
0.15833,0.091409,5
0.9881,0.87372,5
0.34966,0.80765,2
0.87536,0.38186,2
0.64906,0.20373,2
0.85564,0.24266,2
0.43655,0.92328,2
0.58061,0.085175,2
0.60263,0.18686,2
0.402,0.78104,2
0.39228,0.64824,2
0.24669,0.60274,2
0.092398,0.59522,2
0.53032,0.095829,2
0.64033,0.29844,2
0.79698,0.3546,2
0.29072,0.97072,2
0.61358,0.025339,2
0.69866,0.20577,2
0.19841,0.65001,2
0.73925,0.14167,2
0.078315,0.70913,2
0.12416,0.70061,2
0.16221,0.91459,1
0.031443,0.83786,1
0.93034,0.11308,1
0.74216,0.011303,1
0.16202,0.96709,1
0.082818,0.96646,1
0.25657,0.9355,1
0.963,0.096605,1
0.19369,0.96696,1
0.26441,0.35819,4
0.06543,0.30027,4
0.88289,0.6164,4
0.84118,0.58069,4
0.6944,0.92036,4
0.24295,0.16515,4
0.25285,0.37841,4
0.64201,0.84784,4
0.2936,0.023302,4
0.34327,0.065282,4
0.91616,0.70216,4
0.67603,0.97652,4
0.61186,0.9068,4
0.097897,0.32314,4
0.38778,0.24191,4
0.3859,0.12815,4
0.364,0.30328,4
