@relation toy-ordinal-weka.filters.supervised.instance.StratifiedRemoveFolds-S773717342-V-N4-F1

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5}

@data
0.84118,0.58069,4
0.69633,0.79935,4
0.10017,0.3509,4
0.6944,0.92036,4
0.35489,0.2831,4
0.76985,0.83654,4
0.64201,0.84784,4
0.20858,0.17285,4
0.71055,0.7378,4
0.61125,0.74618,4
0.093461,0.36838,4
0.40146,0.13124,4
0.7736,0.61679,4
0.77901,0.68219,4
0.64708,0.93525,4
0.78025,0.78415,4
0.6995,0.9315,4
0.1584,0.16417,5
0.88583,0.84385,5
0.024496,0.20777,5
0.86232,0.88763,5
0.10841,0.061655,5
0.92051,0.93501,5
0.8519,0.94896,5
0.05999,0.052366,5
0.3877,0.41387,3
0.4709,0.038463,3
0.52925,0.24801,3
0.68817,0.57834,3
0.064857,0.44928,3
0.61177,0.66819,3
0.77524,0.46723,3
0.56876,0.45172,3
0.35428,0.49382,3
0.51944,0.11964,3
0.56273,0.40084,3
0.64364,0.61377,3
0.50088,0.84141,3
0.50817,0.0878,3
0.78835,0.57312,3
0.45782,0.04314,3
0.23028,0.45541,3
0.78916,0.4887,3
0.55197,0.44243,3
0.52583,0.11915,3
0.34966,0.80765,2
0.69866,0.20577,2
0.84541,0.27148,2
0.47008,0.94685,2
0.32795,0.58847,2
0.16481,0.54812,2
0.43655,0.92328,2
0.70593,0.43841,2
0.44754,0.70888,2
0.339,0.67065,2
0.097105,0.74012,2
0.39228,0.64824,2
0.58061,0.085175,2
0.62432,0.18227,2
0.056894,0.71508,2
0.74931,0.3644,2
0.37972,0.93307,2
0.67025,0.22356,2
0.82258,0.37879,2
0.40904,0.63785,2
0.11957,0.56784,2
0.90869,0.3058,2
0.74216,0.011303,1
0.14351,0.78392,1
0.007155,0.84027,1
0.074228,0.77711,1
0.19368,0.90944,1
0.17482,0.85284,1
0.031443,0.83786,1
0.25657,0.9355,1
