@relation toy-ordinal-weka.filters.supervised.instance.StratifiedRemoveFolds-S1146237115-V-N4-F1

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5}

@data
0.92051,0.93501,5
0.9795,0.96547,5
0.79299,0.84561,5
0.91128,0.98128,5
0.89699,0.95793,5
0.86232,0.88763,5
0.82474,0.81971,5
0.96605,0.90717,5
0.78916,0.4887,3
0.47453,0.62063,3
0.50856,0.495,3
0.41635,0.51793,3
0.78835,0.57312,3
0.40385,0.37688,3
0.4192,0.218,3
0.65778,0.58573,3
0.42867,0.33358,3
0.30128,0.49926,3
0.6069,0.48444,3
0.7423,0.51129,3
0.55123,0.32701,3
0.35428,0.49382,3
0.63734,0.47111,3
0.52608,0.91331,3
0.45782,0.04314,3
0.48329,0.92331,3
0.57385,0.40405,3
0.40146,0.13124,4
0.70509,0.78691,4
0.64163,0.99521,4
0.36105,0.12946,4
0.364,0.30328,4
0.28639,0.37805,4
0.38778,0.24191,4
0.40407,0.08235,4
0.21131,0.3085,4
0.88289,0.6164,4
0.30528,0.10141,4
0.6995,0.9315,4
0.91616,0.70216,4
0.6837,0.99276,4
0.20858,0.17285,4
0.64343,0.71977,4
0.58132,0.8819,4
0.60463,0.36846,2
0.38676,0.73403,2
0.039185,0.66149,2
0.11957,0.56784,2
0.41206,0.78268,2
0.056894,0.71508,2
0.66585,0.29556,2
0.40904,0.63785,2
0.41558,0.86232,2
0.339,0.67065,2
0.63675,0.19243,2
0.55236,0.25757,2
0.64033,0.29844,2
0.57297,0.25176,2
0.43655,0.92328,2
0.19841,0.65001,2
0.97581,0.35153,2
0.12416,0.70061,2
0.11155,0.61442,2
0.31093,0.77076,2
0.83815,0.39471,2
0.4602,0.7796,2
0.87143,0.069843,1
0.066426,0.86221,1
0.93545,0.073785,1
0.963,0.096605,1
0.83715,0.011609,1
0.25657,0.9355,1
0.93034,0.11308,1
0.19369,0.96696,1
0.20502,0.85333,1
0.87687,0.99768,5
0.88583,0.84385,5
0.71319,0.97197,5
0.73162,0.97034,5
0.95063,0.788,5
0.86492,0.93575,5
0.80414,0.9634,5
0.85414,0.53746,3
0.29175,0.40189,3
0.70688,0.59994,3
0.4709,0.038463,3
0.46602,0.48453,3
0.47602,0.29086,3
0.26351,0.43182,3
0.84247,0.52367,3
0.77524,0.46723,3
0.23393,0.46577,3
0.27265,0.48644,3
0.45343,0.1214,3
0.064857,0.44928,3
0.62095,0.64853,3
0.75376,0.51658,3
0.55197,0.44243,3
0.34841,0.50133,3
0.56273,0.40084,3
0.5236,0.63046,3
0.99152,0.49241,3
0.82494,0.64959,4
0.26441,0.35819,4
0.5794,0.83574,4
0.77901,0.68219,4
0.25285,0.37841,4
0.69633,0.79935,4
0.69101,0.91796,4
0.82826,0.76631,4
0.24295,0.16515,4
0.85163,0.67125,4
0.03116,0.35045,4
0.7736,0.61679,4
0.97992,0.66519,4
0.64201,0.84784,4
0.61186,0.9068,4
0.84118,0.58069,4
0.613,0.9215,4
0.39228,0.64824,2
0.67025,0.22356,2
0.70564,0.22936,2
0.74931,0.3644,2
0.036376,0.62881,2
0.16481,0.54812,2
0.70522,0.13124,2
0.74673,0.27155,2
0.39123,0.83802,2
0.61358,0.025339,2
0.59779,0.30524,2
0.60882,0.19601,2
0.84541,0.27148,2
0.25588,0.59506,2
0.29481,0.78418,2
0.60546,0.022458,2
0.097105,0.74012,2
0.64906,0.20373,2
0.58668,0.35135,2
0.39493,0.99793,2
0.26925,0.6309,2
0.73046,0.27521,2
0.15261,0.99562,1
0.74216,0.011303,1
0.007155,0.84027,1
0.082818,0.96646,1
0.99909,0.069148,1
0.015836,0.85092,1
0.019382,0.93832,1
0.035655,0.78177,1
0.92369,0.045739,1
