@relation toy-ordinal-weka.filters.supervised.instance.StratifiedRemoveFolds-S1146237115-V-N4-F1

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5}

@data
0.87103,0.93255,5
0.99842,0.80255,5
0.8519,0.94896,5
0.13844,0.057069,5
0.77038,0.90998,5
0.91389,0.79736,5
0.070224,0.15881,5
0.1584,0.16417,5
0.64364,0.61377,3
0.50088,0.84141,3
0.016035,0.51722,3
0.51862,0.090424,3
0.45428,0.33706,3
0.38618,0.41939,3
0.34283,0.51525,3
0.3877,0.41387,3
0.56876,0.45172,3
0.45038,0.58985,3
0.092472,0.47247,3
0.49542,0.014818,3
0.39702,0.52786,3
0.52925,0.24801,3
0.77788,0.47279,3
0.48145,0.77831,3
0.63427,0.46552,3
0.23028,0.45541,3
0.50817,0.0878,3
0.5059,0.69643,3
0.2974,0.091541,4
0.34327,0.065282,4
0.92458,0.64322,4
0.2936,0.023302,4
0.64021,0.90955,4
0.062849,0.41095,4
0.61756,0.92275,4
0.67603,0.97652,4
0.23868,0.38973,4
0.06543,0.30027,4
0.95439,0.59201,4
0.049606,0.30457,4
0.64708,0.93525,4
0.88071,0.61324,4
0.35489,0.2831,4
0.097897,0.32314,4
0.32814,0.20918,4
0.69866,0.20577,2
0.29019,0.91512,2
0.70593,0.43841,2
0.092398,0.59522,2
0.85889,0.26189,2
0.73925,0.14167,2
0.78026,0.25449,2
0.47008,0.94685,2
0.033257,0.57951,2
0.58061,0.085175,2
0.29072,0.97072,2
0.37505,0.62104,2
0.45941,0.98241,2
0.47401,0.93543,2
0.92795,0.3365,2
0.078315,0.70913,2
0.90869,0.3058,2
0.32795,0.58847,2
0.20313,0.60588,2
0.60263,0.18686,2
0.34338,0.76749,2
0.872,0.04329,1
0.031443,0.83786,1
0.1538,0.90922,1
0.90211,0.14369,1
0.048258,0.85058,1
0.22546,0.87249,1
0.074228,0.77711,1
0.19368,0.90944,1
0.90364,0.008141,1
