@relation stock10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.02357,1.21246,0.56605,1.05176,0.79629,-0.02217,1.377,0.23763,0.79876,10.0
0.95954,-1.63312,-0.21223,1.2524,-0.7772,0.38463,0.76798,1.50019,-0.69418,7.0
-0.08602,1.19048,0.74918,0.98488,0.7788,-0.08997,1.30318,0.11137,0.76949,9.0
0.97116,-1.76496,-1.12786,0.71735,-1.42408,0.36203,1.06326,1.87896,-0.782,7.0
-0.57107,0.97075,0.97808,0.04853,2.17746,0.65583,-0.45008,-0.43574,0.24257,5.0
-1.14469,0.86088,1.11543,-0.46423,0.26305,1.17563,-0.72691,-0.77242,0.44748,1.0
-1.06764,0.65213,1.25277,-0.9324,0.21934,1.06263,-0.70845,-0.77242,-0.54781,1.0
0.65749,-1.80891,-0.34958,-0.55341,-1.3017,-1.24257,-0.33935,1.20559,-2.59695,5.0
0.7969,-0.53444,-1.5399,-0.66488,-0.28767,-1.35557,-1.18829,-0.30948,1.47205,9.0
-1.78941,0.54226,0.1998,-0.41964,0.06199,0.70103,-0.69,-2.16124,0.71094,1.0
1.09895,-0.12793,-0.12067,1.31929,-0.36635,0.70103,1.67229,1.03725,-0.19653,6.0
0.85498,-1.29253,-1.21942,1.43076,-1.7213,0.61063,1.46928,1.20559,-1.30892,6.0
1.91216,-1.05082,0.10824,-0.44194,-1.70382,-1.01657,-1.2252,1.37393,0.5353,10.0
0.26975,-0.02905,-0.85317,-0.97699,0.13192,-1.26517,-0.76382,-0.85659,0.74021,8.0
1.09895,-0.27076,0.42871,1.31929,-0.22648,-0.20297,1.04481,1.12142,-0.43072,5.0
1.04523,-0.87503,-1.7688,-0.30817,-0.90833,-1.24257,-0.92992,0.6164,1.09149,10.0
0.12309,1.20147,0.88652,0.94029,0.82251,-0.15777,1.19245,0.27971,0.71094,9.0
-1.12434,0.87186,1.25277,-0.37505,0.29802,1.17563,-0.59772,-0.60408,0.59385,1.0
0.91307,-0.44655,-0.34958,1.94352,-0.54992,0.38463,1.5431,1.03725,-0.60636,5.0
-0.99943,0.64114,0.74918,-0.53111,1.0935,1.55983,-0.32089,-1.23536,-0.72345,2.0
-0.82368,0.60818,0.97808,-0.26359,2.02011,0.90443,-0.30243,-0.35157,0.24257,4.0
-0.99943,0.60818,0.52027,-0.88782,1.05854,0.56543,-0.13634,-0.60408,-0.19653,3.0
0.77366,0.02588,0.47449,2.05499,-0.61985,0.88183,2.02294,1.20559,-0.02089,5.0
-0.84552,0.90483,1.80215,-0.17441,1.14595,1.96663,0.14049,-0.43574,0.15475,3.0
-0.38807,1.41022,1.16121,0.42753,1.31204,0.42983,0.91562,-0.30948,0.88658,8.0
-0.99943,0.60818,0.38293,-0.84323,1.29456,0.54283,-0.46853,-0.47782,-0.40145,3.0
-1.90409,0.44338,0.47449,-0.70946,-0.07787,0.31683,-1.09602,-2.2875,0.76949,1.0
1.00601,-1.55621,-1.35677,-1.91334,-1.33667,-1.28777,-1.31748,0.06929,-1.2211,7.0
-0.91234,0.60818,0.47449,-0.48652,1.75787,0.42983,-0.0256,-0.56199,-0.02089,4.0
0.84336,-0.58938,-1.72302,-0.70946,-0.40131,-1.31037,-0.78227,0.23763,0.62312,9.0
0.70396,-0.02905,0.29136,1.83205,-0.47999,0.88183,2.02294,1.41602,0.03765,5.0
-0.8353,0.78397,1.06965,-0.12982,2.02011,0.94963,-0.39471,-0.47782,0.12547,4.0
0.80414,-0.63332,-1.86037,-0.86552,-0.75972,-1.53638,-0.91146,0.15346,0.5353,9.0
0.8666,-1.30352,-1.21942,1.34158,-1.65137,0.52023,1.34009,1.24768,-1.16255,6.0
-0.74236,0.84989,1.20699,-0.06294,2.11627,0.54283,-0.54235,-0.81451,-0.05017,4.0
-1.0459,0.70706,0.42871,-0.79864,1.17218,0.74623,-0.54235,-0.81451,-0.28435,3.0
-0.0468,0.79496,-0.16645,0.60588,0.55152,-0.83577,1.65383,0.3218,0.62312,8.0
0.51808,-1.62213,-1.31099,-1.28911,-0.85588,-1.35557,-0.57927,0.70057,-1.39674,5.0
0.88259,-0.57839,-1.40255,-0.55341,-0.32264,-1.37817,-0.81918,0.23763,0.88658,10.0
-0.23268,1.17949,0.47449,0.58359,0.68265,0.13603,1.11863,-0.22531,0.79876,9.0
1.54041,-1.4024,-1.40255,-1.46746,-1.26673,-1.64938,-1.52049,0.95308,-0.95764,8.0
2.06319,-0.74319,-0.99052,-0.06294,-1.50276,-0.85837,-0.87455,1.54227,1.38423,10.0
0.81288,-0.67727,-1.86037,-0.73176,-0.68105,-1.51377,-1.07756,0.3218,0.68167,9.0
0.99002,-0.47951,-0.85317,-0.39735,-0.34012,-1.64938,-1.04065,-0.2674,1.58914,10.0
-0.9893,0.56423,0.84074,-0.79864,0.38543,1.13043,-0.17325,-0.56199,0.00838,2.0
-0.91234,0.61917,0.42871,-0.5757,1.90647,0.67843,0.06667,-0.2674,0.21329,4.0
-0.90212,0.61917,0.65761,-0.59799,1.81032,0.58803,0.04822,-0.39365,0.03765,4.0
-0.83966,0.5972,1.29855,-0.46423,0.86622,1.58243,0.23277,-0.60408,0.38893,3.0
-1.46998,0.91581,0.61183,-0.50882,0.14941,0.81403,-0.67154,-1.6983,0.00838,2.0
0.09261,0.1797,-0.89895,-0.9547,0.05325,-1.06177,-0.17325,-0.39365,1.12077,8.0
0.68072,-1.66608,-0.80739,-1.42287,-0.76846,-1.40077,-0.98528,0.70057,-1.2211,6.0
0.19279,-0.22681,-1.40255,-0.48652,0.13192,-1.10697,-0.39471,0.0272,1.06222,8.0
1.2456,-0.86405,-1.67724,-0.08523,-1.03945,-1.21997,-0.94837,0.65848,1.35495,10.0
-1.58318,0.9268,1.06965,-0.33047,0.23682,0.81403,-0.61618,-1.44579,-0.05017,2.0
-1.06764,0.55325,0.52027,-0.84323,1.58303,0.47503,-0.46853,-0.51991,-0.13799,4.0
0.71557,-0.20484,-0.44114,1.83205,-0.75972,0.15863,1.32164,1.20559,-0.66491,4.0
1.91216,-0.71023,-1.0363,-0.39735,-1.0919,-1.12957,-0.94837,1.41602,1.35495,10.0
0.56455,-1.88582,0.24558,-0.37505,-2.07096,-1.15217,-0.48699,0.49014,-1.89439,4.0
2.0748,-1.08378,-1.17364,-0.66488,-1.37163,-1.10697,-1.18829,1.62644,0.62312,10.0
-0.5115,1.27838,0.65761,0.33835,1.02357,0.36203,0.47269,-0.43574,0.35966,7.0
-1.54256,0.95976,0.84074,-0.50882,0.2106,0.83663,-0.57927,-1.6983,-0.22581,2.0
-1.12434,0.77298,1.06965,-0.24129,0.21934,0.88183,-0.74536,-0.98285,0.76949,2.0
-0.36484,1.15752,1.11543,0.27147,1.20714,0.42983,0.45423,-0.2674,0.21329,8.0
-0.40118,1.15752,1.20699,-0.08523,1.25959,0.20383,0.19586,-0.47782,0.21329,7.0
-1.10835,0.48733,1.02387,-1.13305,0.14941,0.99483,-0.94837,-1.19328,-0.57709,1.0
-0.82368,0.5972,1.06965,-0.26359,2.0376,0.92703,-0.1917,-0.14114,0.27184,4.0
1.08733,-0.12793,-0.07489,1.34158,-0.34012,0.61063,1.41391,1.03725,-0.28435,6.0
-0.99943,0.61917,0.61183,-0.9547,1.07602,0.79143,-0.08097,-0.81451,-0.10871,3.0
1.49394,-1.3145,-1.0363,-1.26681,-1.14435,-1.62678,-1.00374,1.16351,-0.51854,9.0
1.30806,-0.91898,-1.7688,-0.10753,-0.83839,-1.15217,-0.89301,0.57431,1.55987,10.0
0.78528,0.0918,0.38293,2.18875,-0.26145,1.01743,2.07831,1.28976,0.33039,5.0
0.98277,-0.44655,-0.89895,-0.28588,-0.33138,-1.58158,-0.96683,-0.18323,1.55987,10.0
-1.09237,0.77298,1.29855,-0.39735,0.24557,1.08523,-0.74536,-0.68825,0.50603,2.0
0.80851,-0.78714,-0.99052,1.72058,-0.75098,0.56543,1.11863,1.4581,-1.10401,4.0
-1.60938,1.06963,1.52746,0.33835,0.20186,1.10783,-0.28398,-1.06702,1.47205,3.0
-1.56719,0.95976,1.75637,-0.01835,0.34172,1.06263,-0.30243,-1.1091,0.91585,3.0
0.97116,-1.35845,-1.12786,0.87341,-1.47653,0.36203,1.26627,1.54227,-1.04546,7.0
-1.06764,0.68509,1.25277,-0.9547,0.14067,1.06263,-0.80073,-0.81451,-0.48927,1.0
-1.54256,0.72904,0.1998,0.18229,0.16689,0.63323,-0.17325,-1.74039,1.15004,3.0
0.85498,-1.17168,0.74918,0.87341,-1.66885,-0.76797,0.8418,1.4581,-1.36747,3.0
