@relation computer1-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.06672,0.06336,-1.03042,-0.40446,-0.55495,-0.67939,-0.49727,0.13238,0.27218,-0.11954,-0.4776,0.98122,4.0
-0.31038,-0.43846,-0.01244,-0.25369,-0.33062,-0.51807,-0.19031,-0.14291,-0.12442,-0.1418,-0.48244,-0.7442,3.0
-0.32912,-0.405,-0.72558,-0.82159,-0.56742,-0.51807,-0.42053,-0.66884,-0.19548,-0.14021,1.17583,0.94114,4.0
-0.16043,-0.23773,1.35202,-0.12805,0.09311,0.76848,0.42168,-0.46509,-0.21938,-0.12113,-0.3519,0.49501,1.0
-0.29163,-0.37155,-0.42992,-0.15821,-0.48018,-0.0341,-0.15194,-0.60745,-0.56054,-0.13783,-0.43127,-0.61295,3.0
-0.3666,-0.43846,-1.31384,-1.01759,-0.8229,-0.59873,-0.26705,-0.81811,-0.58439,-0.14817,2.28336,1.29869,5.0
-0.1042,-0.17082,-0.10916,-0.02251,-0.19977,0.04656,-0.0752,0.10219,0.61293,-0.11635,-0.63271,0.63045,3.0
0.1582,-0.37155,0.52808,-0.25369,-0.13745,0.20788,0.46197,0.25846,-0.12898,-0.12908,0.00949,0.74972,2.0
-0.34786,-0.43846,-0.55051,0.41974,0.11803,-0.51807,-0.34379,-0.08988,-0.16231,-0.12908,0.20448,0.94286,2.0
-0.34786,-0.43846,-1.28507,-0.99246,-0.84783,-0.43741,-0.30542,-0.77628,-0.63187,-0.14817,2.83692,1.28735,5.0
-0.34786,-0.405,0.10326,-0.42959,-0.3057,-0.51807,-0.38216,-0.78413,-0.64476,-0.13862,0.32817,0.18815,5.0
0.00825,0.43135,-0.88351,-0.706,-0.66089,-0.67939,-0.49727,-0.81489,-0.58019,-0.14339,-0.31,1.02701,4.0
-0.01049,-0.30464,0.59174,0.54036,0.65393,0.44987,-0.30542,-0.13497,-0.28091,3.29539,-0.67582,-3.14704,1.0
1.62013,1.20079,-0.02958,0.29913,0.41091,0.04656,-0.15194,-0.24381,0.05536,-0.14817,-0.35472,-0.75323,2.0
0.13945,-0.43846,1.9311,-0.17328,-0.21846,1.82112,2.99437,-0.37414,-0.05965,-0.12908,-0.65648,-0.52435,1.0
-0.2354,-0.33809,-1.16815,-0.91708,-0.79174,0.20788,-0.15194,-0.69801,-0.50462,-0.14817,0.37329,1.05948,4.0
-0.2354,-0.37155,-0.3987,-0.33913,-0.42409,-0.51807,-0.34379,-0.11554,-0.45175,-0.14021,-0.42402,-0.84553,3.0
-0.25415,-0.43846,-0.313,0.02272,-0.17484,-0.35675,-0.30542,-0.09275,-0.47299,-0.1426,-0.62385,-0.53371,4.0
-0.2354,-0.43846,-0.49052,-0.01246,0.13673,0.61119,-0.34379,-0.49647,-0.64488,-0.13703,1.86195,0.90847,3.0
-0.29163,-0.405,1.15369,0.94743,1.18982,0.04656,-0.30542,0.03829,0.44831,-0.13703,-0.61539,-0.59372,2.0
-0.1042,-0.43846,1.42548,2.88732,-0.16861,-0.67939,-0.49727,2.06078,-0.21873,-0.1418,-0.65729,-0.7416,2.0
-0.34786,-0.405,-1.30344,-0.99246,-0.84159,-0.67939,-0.49727,-0.79331,-0.63148,-0.14817,2.28739,1.28534,5.0
-0.1042,0.16372,-0.39625,-0.66579,-0.51133,-0.67939,-0.49727,-0.64232,-0.45894,-0.14498,-0.59847,1.0018,5.0
-0.21666,-0.405,0.24221,1.02282,1.18359,1.09516,0.19338,-0.09913,0.22381,-0.14021,-0.31242,-0.74148,2.0
-0.12295,-0.30464,0.22997,0.09307,0.56669,-0.27609,-0.03683,0.02752,2.36525,-0.12908,-0.56744,0.11018,2.0
0.40185,1.53533,-0.50154,-0.21851,-0.42409,-0.67939,-0.49727,-0.3224,-0.23658,-0.1426,-0.64037,-0.8244,3.0
-0.3666,-0.43846,-0.21138,-0.34415,-0.41163,-0.67939,-0.49727,-0.29388,-0.54263,-0.13226,-0.51144,-0.71229,4.0
-0.31038,-0.43846,0.78151,0.0579,-0.21846,-0.43741,0.03799,0.04391,-0.28395,-0.13067,-0.30396,0.71425,4.0
-0.12295,-0.13737,0.14794,-0.11298,-0.19977,-0.51807,-0.34379,-0.25371,-0.52506,-0.1418,-0.28623,-0.84143,3.0
-0.32912,-0.43846,0.32669,-0.0778,-0.00659,-0.59873,-0.4589,-0.57779,0.39755,-0.13544,-0.50661,0.51295,4.0
0.96414,2.23787,-0.76782,0.05287,0.04326,-0.59873,-0.4589,-0.21718,-0.33482,6.96958,-0.67461,-3.14705,1.0
-0.1042,-0.13737,0.13509,-0.65072,-0.5238,-0.35675,-0.34379,-0.16639,-0.42244,-0.12749,2.58069,0.17609,4.0
-0.29163,-0.33809,0.53665,-0.15318,-0.21846,-0.43741,-0.30542,-0.76614,-0.5349,-0.14817,-0.61096,-0.74931,3.0
-0.34786,-0.405,-1.30772,-0.98744,-0.84783,-0.67939,-0.49727,-0.7353,-0.55911,-0.14817,1.89176,1.28763,5.0
-0.34786,-0.43846,-1.14857,-0.76128,-0.84159,-0.43741,-0.34379,0.32921,-0.63129,-0.14498,2.07709,1.18663,4.0
1.28276,1.13389,0.65847,0.6861,0.43583,2.22039,3.02506,0.68118,0.33246,-0.14817,-0.51023,-0.53455,1.0
-0.3666,-0.43846,-1.19386,-0.77636,-0.79174,-0.67939,-0.49727,0.60112,-0.31741,-0.14339,2.30754,1.27962,5.0
-0.2354,-0.37155,0.34015,0.33933,-0.00036,1.5025,0.38715,0.23729,0.13058,-0.13703,0.06871,-0.75974,1.0
-0.31038,-0.43846,1.58769,0.57553,0.45453,0.44584,0.03799,0.15412,-0.44396,-0.13226,-0.1283,-0.66537,2.0
-0.3666,-0.43846,-1.16203,-0.74621,-0.65465,-0.67939,-0.49727,-0.81584,-0.55939,-0.13226,-0.45826,0.90806,5.0
0.58928,1.6357,-0.27015,-0.43462,-0.32439,-0.43741,-0.34379,-0.77505,-0.46593,-0.13544,-0.42805,-0.83158,3.0
0.38311,1.36806,0.65908,0.54036,-0.00036,-0.35675,-0.38216,0.36359,-0.37168,-0.11795,-0.40266,-0.52618,2.0
0.36437,-0.43846,0.69703,0.16846,-0.19353,3.1117,4.721,0.1372,-0.47356,-0.13385,-0.64923,-0.54817,1.0
-0.3666,-0.43846,-1.24835,-0.902,-0.66712,-0.59873,-0.4589,-0.82092,-0.64158,-0.14817,0.0812,1.03612,5.0
-0.31038,-0.405,-0.49603,-0.39944,-0.56742,0.04656,-0.15194,-0.14725,-0.12419,-0.14021,2.62501,1.27113,3.0
1.50768,3.17458,3.8624,3.14363,2.59188,2.62773,0.15501,2.14402,2.67509,-0.14419,-0.42442,-0.74484,1.0
-0.29163,-0.405,-1.0543,-0.76128,-0.77928,-0.51807,-0.38216,-0.23324,-0.58448,-0.13703,1.82246,0.94053,5.0
1.50768,0.59862,1.98436,2.42999,2.44856,2.46641,0.0399,0.78993,0.12014,-0.14817,-0.47236,-0.72908,1.0
-0.1042,-0.13737,3.11437,-0.12303,-0.08137,0.53053,1.15262,-0.19302,-0.53767,-0.12749,-0.60532,0.11672,1.0
-0.32912,-0.43846,0.41055,-0.25872,-0.14368,0.12722,-0.0752,-0.60913,-0.20741,-0.13703,-0.6452,1.0242,2.0
