@relation computer1-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.29163,-0.405,-0.80761,-0.83164,-0.67335,-0.43741,-0.4589,-0.76913,-0.48807,-0.12749,-0.27656,-0.74333,4.0
-0.2354,-0.405,-1.03838,-0.58538,-0.71697,0.69589,0.15693,-0.4708,-0.50956,-0.14817,2.4699,1.28929,3.0
-0.25415,-0.405,-0.12691,-0.33913,-0.22469,-0.43741,-0.38216,-0.53712,-0.05141,-0.13703,0.11021,0.51743,4.0
0.34562,1.06698,-0.39013,-0.44467,-0.3057,1.25648,1.42121,0.44893,1.24349,-0.1418,2.5678,1.27189,1.0
-0.2354,-0.30464,-0.82352,-0.62559,-0.43656,-0.35675,0.30849,0.08164,0.35548,-0.14419,-0.64238,-0.80188,3.0
-0.34786,-0.405,-1.31017,-1.00251,-0.86652,-0.67939,-0.49727,-0.79149,-0.63848,-0.14817,1.22781,1.15756,5.0
-0.3666,-0.43846,-1.16326,-0.87687,-0.62973,-0.67939,-0.49727,-0.70061,-0.4,-0.14658,0.03044,1.04898,3.0
0.027,-0.00355,2.0823,1.34446,0.92811,-0.59873,-0.4589,0.67871,-0.24798,-0.1426,-0.51789,-0.77465,2.0
-0.17918,-0.30464,0.87394,0.00764,0.1118,-0.27609,-0.34379,0.00334,0.11553,-0.14021,-0.1279,-0.5163,2.0
-0.3666,-0.43846,-1.25202,-0.8819,-0.78551,-0.67939,-0.49727,-0.70502,-0.61204,-0.14817,2.18828,1.22964,5.0
-0.31038,-0.37155,-0.41645,-0.35923,-0.41163,-0.51807,-0.42053,-0.38161,-0.20348,-0.13862,-0.36721,0.92231,5.0
-0.21666,-0.405,-0.40053,-0.59041,-0.37424,-0.0341,0.07827,-0.75341,-0.18011,-0.13385,1.28824,0.8145,4.0
0.43934,1.36806,-0.42379,-0.19841,-0.16238,-0.19542,0.53871,0.02765,0.1111,4.90981,-0.67461,-3.14705,1.0
0.00825,0.13026,-0.18567,-0.15318,-0.28077,0.12722,-0.11357,-0.33859,-0.33481,-0.12908,-0.57228,-0.73422,2.0
3.02584,-0.23773,1.60177,0.37954,0.6477,0.60716,0.07636,0.05929,0.99002,-0.12908,0.39746,0.72989,1.0
-0.02923,-0.30464,-0.35034,-0.16826,-0.23092,-0.43741,-0.11357,0.7709,-0.33682,-0.14021,-0.62143,-0.75733,4.0
-0.31038,-0.43846,-0.54194,0.04784,0.20527,0.53053,-0.34379,0.44898,-0.54955,-0.13862,2.23824,1.29181,3.0
-0.32912,-0.405,0.49686,0.44487,0.10557,-0.59873,-0.49727,-0.00899,0.4241,-0.11158,0.14808,-0.80508,4.0
-0.21666,-0.30464,-0.05529,-0.58036,-0.49887,0.28855,0.11664,-0.65178,-0.52544,-0.13226,-0.66373,-0.63499,3.0
-0.25415,-0.405,1.04656,2.28927,2.57941,0.36517,-0.34379,0.95323,2.19213,-0.13226,-0.51144,-0.55546,2.0
-0.02923,0.0299,2.0823,0.22877,0.04326,-0.51807,-0.42053,-0.6906,-0.4932,-0.11476,-0.65286,0.4572,2.0
-0.3666,-0.43846,-1.3169,-1.00754,-0.79174,-0.67939,-0.49727,-0.82078,-0.45533,-0.14817,-0.16859,1.02764,5.0
0.79545,2.37169,-0.77883,-0.70097,-0.59857,-0.67939,-0.49727,-0.4378,-0.11861,-0.13385,-0.18551,1.22382,5.0
9.96068,-0.37155,1.35814,-0.24364,-0.00659,-0.67939,-0.49727,-0.23163,0.57401,-0.13385,-0.55375,0.44516,2.0
0.32688,1.13389,-0.99002,-0.4899,-0.54872,0.04656,-0.15194,0.72809,-0.34914,-0.13862,0.40955,1.09806,2.0
-0.34786,-0.43846,-0.60988,-0.118,0.14296,-0.67939,-0.49727,-0.57743,-0.35517,-0.1426,-0.5888,-0.7677,3.0
-0.06672,0.06336,-1.03042,-0.40446,-0.55495,-0.67939,-0.49727,0.13238,0.27218,-0.11954,-0.4776,0.98122,4.0
-0.19792,-0.17082,-0.48807,-0.54518,-0.38671,-0.59873,-0.4589,-0.33525,-0.173,-0.14021,-0.64923,-0.57075,4.0
-0.29163,-0.43846,-0.00387,0.12323,0.39221,0.69185,-0.22868,-0.32843,-0.5404,-0.13862,2.0513,1.18335,3.0
-0.29163,-0.43846,-0.83454,-0.39441,-0.17484,0.20788,-0.38216,-0.55291,-0.57347,-0.14021,2.37482,1.30601,4.0
1.26402,3.34185,-0.22852,1.15851,0.15542,-0.51807,-0.38216,1.94026,4.46287,4.52012,-0.67622,-3.14704,1.0
-0.2354,-0.30464,-0.56704,-0.65072,-0.24962,-0.51807,-0.42053,-0.66813,-0.43347,-0.12431,-0.31282,0.01977,4.0
0.027,-0.10392,0.95229,0.14333,0.72247,0.20788,-0.0752,-0.35797,-0.01186,-0.09886,-0.57228,-0.04237,3.0
-0.34786,-0.405,-1.29426,-0.99749,-0.72943,-0.67939,-0.49727,-0.78688,-0.59594,-0.14817,2.22776,1.29612,5.0
-0.29163,-0.43846,-0.48684,-0.62056,-0.55495,-0.27609,0.15501,-0.70325,-0.65513,-0.14021,-0.54569,0.13001,4.0
