@relation computer2-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.3666,-0.43846,0.32118,-0.01749,-0.287,-0.67939,-0.49727,-0.48745,-0.46467,-0.16682,-0.2877,-0.31887,-0.30259,-0.19752,-0.52454,-0.51113,-0.81974,-0.8582,-0.14498,-0.60532,-0.47632,7.0
-0.31038,-0.37155,-1.02798,-0.62559,-0.58611,-0.67939,-0.49727,-0.07763,-0.53202,-0.16682,-0.30084,-0.32505,-0.30259,1.30905,-0.59661,-0.55601,-0.78128,-0.8383,-0.14021,-0.62707,-0.71953,9.0
-0.14169,-0.405,1.22592,2.78179,3.33964,1.33311,-0.11357,1.17469,1.90994,0.17047,0.01398,-0.04758,-0.1342,-0.05737,-0.20814,-0.01834,1.41642,1.21908,-0.13226,-0.63755,-0.77011,2.0
-0.3666,-0.43846,-1.31874,-1.02764,-0.86029,-0.67939,-0.49727,-0.82093,-0.61349,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82323,-0.88228,-0.14817,2.33131,1.30345,10.0
-0.27289,-0.30464,-0.68457,-0.314,-0.23092,-0.67939,-0.49727,0.37498,-0.48043,1.60818,0.54242,1.16119,0.63821,1.03051,1.7724,1.02693,-0.82297,-0.43935,0.84593,-0.673,-3.14706,1.0
-0.27289,-0.43846,-0.21812,1.19369,0.15542,0.53053,0.0399,1.49965,-0.49836,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,0.02321,0.09925,1.21489,1.15751,-0.13226,-0.18793,-0.66591,2.0
-0.01049,-0.23773,-0.19669,-0.10292,-0.24962,-0.35675,-0.34379,0.26041,-0.19259,0.13278,-0.10432,-0.10319,-0.15106,0.15285,-0.07841,-0.19786,-0.25305,-0.03495,-0.14419,-0.59484,-0.8085,6.0
-0.34786,-0.405,-1.29426,-0.99749,-0.72943,-0.67939,-0.49727,-0.78688,-0.59594,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.59661,-0.55601,-0.82498,-0.88228,-0.14817,2.22776,1.29612,10.0
0.23317,0.43135,0.55012,0.70118,0.59162,-0.35675,-0.26705,-0.36597,-0.18409,0.36078,0.29069,0.30529,0.11629,0.08277,-0.17859,-0.26877,-0.25515,0.12609,-0.13544,-0.5473,-0.03032,3.0
-0.3666,-0.43846,-0.69558,-0.21349,-0.31193,-0.67939,-0.49727,0.35607,-0.43419,-0.43062,-0.39286,-0.36831,-0.30259,-0.19752,-0.29391,-0.27775,-0.82323,-0.73149,-0.14339,-0.05014,-0.60257,9.0
