@relation housing
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.27205,-0.48724,1.23073,3.66477,0.43412,-0.04929,0.8535,-0.9482,-0.52248,-0.03107,-1.7347,-0.19447,-1.00168,4.0
-0.41497,2.51416,-1.29684,-0.27233,-1.33499,0.83454,-0.75225,1.91515,-0.52248,-0.29808,-1.68851,0.37446,-0.92186,4.0
-0.40327,-0.48724,-0.16424,-0.27233,-0.06641,-0.78796,-0.11989,-0.49192,-0.40764,0.14099,-0.30279,0.38147,0.134,2.0
-0.41491,0.58469,-0.91494,-0.27233,-1.11061,0.47589,0.06484,0.76253,-0.63733,-0.75495,0.25149,0.4267,-0.76082,4.0
0.74972,-0.48724,1.01499,-0.27233,0.2529,0.78046,0.91389,-0.81058,1.6596,1.52941,0.80578,-3.01599,0.98542,1.0
-0.40262,-0.48724,2.11552,-0.27233,0.22701,-0.61005,1.00981,-0.87887,-0.86702,-1.30676,0.29768,0.14936,1.78642,2.0
2.91137,-0.48724,1.01499,-0.27233,0.36508,-1.60775,1.11639,-1.04746,1.6596,1.52941,0.80578,-1.59597,1.04003,2.0
2.4633,-0.48724,1.01499,-0.27233,1.19354,-1.33164,0.97429,-0.9936,1.6596,1.52941,0.80578,0.44062,0.99662,1.0
-0.41644,3.58609,-1.40908,-0.27233,-1.3091,0.98256,-1.89261,1.83233,-0.75218,-0.03701,-0.67232,0.44062,-1.13331,5.0
-0.38168,-0.48724,-0.71961,-0.27233,-0.4116,-0.28271,-0.25134,-0.06798,-0.17794,-0.60068,-0.48756,0.2199,-0.24829,4.0
0.25699,-0.48724,1.01499,-0.27233,-0.19585,-0.06068,-0.13766,-0.17611,1.6596,1.52941,0.80578,0.44062,-0.2679,4.0
-0.34376,0.3703,-1.04467,-0.27233,0.79657,0.79327,1.11639,-0.84738,-0.52248,-0.85582,-2.51994,0.38618,-0.80563,5.0
1.42543,-0.48724,1.01499,-0.27233,1.00369,0.37057,1.08442,-1.0808,1.6596,1.52941,0.80578,0.44062,1.18007,1.0
-0.22751,-0.48724,1.23073,-0.27233,2.72965,-0.23147,1.02047,-1.03388,-0.52248,-0.03107,-1.7347,0.17664,0.20262,3.0
1.23497,-0.48724,1.01499,-0.27233,1.19354,0.08307,1.11639,-1.05472,1.6596,1.52941,0.80578,0.44062,1.07364,1.0
-0.41028,-0.48724,-1.033,-0.27233,-0.38571,-0.60578,0.00444,-0.51913,-0.52248,-0.66595,-0.85708,0.40042,-0.42193,3.0
1.24631,-0.48724,1.01499,-0.27233,1.25395,-1.99915,1.11639,-1.04741,1.6596,1.52941,0.80578,0.17795,2.516,1.0
-0.37718,-0.48724,-0.18028,-0.27233,-0.0923,0.40188,0.66522,-0.09153,-0.63733,-0.61848,-0.02565,0.42736,-0.47235,4.0
0.69548,-0.48724,1.01499,-0.27233,1.19354,0.16989,1.11639,-1.0239,1.6596,1.52941,0.80578,0.21289,1.07224,1.0
-0.40771,2.94293,-1.34494,-0.27233,-1.2228,-0.49619,-1.74341,3.22488,-0.63733,-0.44048,1.63721,0.21213,-0.99188,3.0
-0.3934,-0.48724,-0.0797,-0.27233,-0.56693,0.05887,-0.57107,0.26588,-0.63733,-0.77868,0.06673,0.41838,-0.23569,4.0
-0.41364,2.51416,-1.29684,-0.27233,-1.33499,1.0765,-2.0809,1.91515,-0.52248,-0.29808,-1.68851,0.16327,-1.10811,5.0
-0.40017,-0.48724,-0.61612,-0.27233,-0.92076,-0.8577,-1.23539,0.61991,-0.75218,-1.03975,-0.2566,0.44062,-0.34211,2.0
-0.10226,-0.48724,1.23073,-0.27233,2.72965,-0.97868,0.93521,-1.07771,-0.52248,-0.03107,-1.7347,-0.05284,1.23188,2.0
2.14352,-0.48724,1.01499,-0.27233,1.59914,-0.66414,0.8464,-0.91601,1.6596,1.52941,0.80578,0.38092,1.3243,1.0
0.92592,-0.48724,1.01499,-0.27233,1.25395,-1.77712,1.00981,-0.96169,1.6596,1.52941,0.80578,0.44062,1.82423,1.0
-0.40529,-0.48724,-0.61612,-0.27233,-0.92076,0.6908,-2.33313,0.91459,-0.75218,-1.03975,-0.2566,0.31476,-1.0941,4.0
-0.37336,-0.48724,-0.18028,-0.27233,-0.0923,0.13858,-0.04884,-0.12468,-0.63733,-0.61848,-0.02565,0.4221,-0.32111,4.0
-0.34716,-0.48724,-0.43683,-0.27233,-0.14407,-0.64137,-0.42897,0.33412,-0.63733,-0.60068,1.1753,0.4266,-0.58578,3.0
