@relation pyrim
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute att21 real
@attribute att22 real
@attribute att23 real
@attribute att24 real
@attribute att25 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-1.00641,-0.42657,-0.47385,-0.31492,-0.89034,-0.99943,-0.25273,0.26528,-0.92841,1.19451,-0.29727,-0.44077,2.58861,2.03521,1.83034,-0.2246,0.68143,1.21388,-0.46609,0.63191,-0.19994,-0.16554,-0.42903,-0.50521,0.97336,-0.46581,4.0
1.15227,-0.42657,-0.47385,3.27036,1.91328,2.3623,-0.25273,0.26528,1.03451,1.19451,-0.29727,-0.44077,2.58861,2.03521,1.83034,-0.2246,0.68143,1.21388,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,2.0
-1.00641,-1.14397,-0.47385,-0.31492,-0.89034,-0.99943,-0.25273,-1.13431,-0.92841,1.19451,-0.29727,-0.44077,-0.40447,-0.8064,0.44825,-0.2246,2.3623,1.21388,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,2.0
0.07293,1.00825,1.55891,-0.31492,1.91328,0.68143,-0.25273,0.26528,0.05305,0.17849,1.03593,1.56644,-0.40447,2.03521,0.44825,-0.2246,0.68143,0.15709,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,4.0
-1.00641,1.72565,2.5753,-0.31492,0.51147,-0.99943,-0.25273,0.26528,-0.92841,-0.83753,-0.96386,-0.44077,-0.40447,-0.8064,-0.93385,-0.2246,-0.99943,-0.8997,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,2.0
0.07293,0.29084,-0.47385,-0.31492,0.51147,0.68143,-0.25273,0.26528,0.05305,0.17849,2.36913,2.57005,-0.40447,0.6144,0.44825,-0.2246,0.68143,0.15709,1.34848,1.85628,-0.19994,-0.16554,1.55524,1.69392,0.97336,1.25865,5.0
0.07293,0.29084,-0.47385,-0.31492,0.51147,0.68143,-0.25273,0.26528,0.05305,0.17849,1.70253,0.56283,-0.40447,0.6144,0.44825,-0.2246,0.68143,0.15709,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,4.0
-1.00641,-1.14397,-0.47385,-0.31492,-0.89034,-0.99943,-0.25273,-1.13431,-0.92841,1.19451,-0.29727,-0.44077,2.58861,2.03521,1.83034,-0.2246,0.68143,1.21388,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,1.0
-1.00641,-1.14397,-0.47385,-0.31492,-0.89034,-0.99943,-0.25273,-1.13431,-0.92841,0.17849,0.36933,-0.44077,1.09207,0.6144,0.44825,-0.2246,0.68143,0.15709,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,3.0
0.07293,2.44306,3.59168,-0.31492,0.51147,0.68143,-0.25273,0.26528,0.05305,0.17849,0.36933,-0.44077,-0.40447,0.6144,0.44825,-0.2246,0.68143,0.15709,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,3.0
-1.00641,-1.14397,-0.47385,-0.31492,-0.89034,-0.99943,-0.25273,-1.13431,-0.92841,3.22655,-0.29727,-0.44077,-0.40447,0.6144,-0.93385,-0.2246,-0.99943,4.38426,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,1.0
-1.00641,-1.14397,-0.47385,-0.31492,-0.89034,-0.99943,-0.25273,-1.13431,-0.92841,0.17849,0.36933,-0.44077,-0.40447,0.6144,0.44825,-0.2246,0.68143,0.15709,-0.46609,-0.59707,-0.19994,-0.16554,-0.42903,-0.50521,-0.5588,-0.46581,2.0
0.07293,0.29084,-0.47385,-0.31492,0.51147,0.68143,-0.25273,0.26528,0.05305,-0.83753,-0.29727,-0.44077,-0.40447,-0.8064,-0.93385,-0.2246,0.68143,-0.8997,1.34848,1.85628,-0.19994,-0.16554,1.55524,1.69392,0.97336,1.25865,5.0
