@relation computer1-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.1042,-0.43846,1.42548,2.88732,-0.16861,-0.67939,-0.49727,2.06078,-0.21873,-0.1418,-0.65729,-0.7416,4.0
-0.1042,-0.33809,1.56994,0.34938,0.21773,0.69185,-0.0752,0.72611,-0.32528,-0.12749,-0.62425,0.70671,3.0
3.19453,0.53171,3.09355,1.23892,1.10259,0.04656,1.11042,-0.28541,0.05847,-0.13067,-0.63835,-0.00329,1.0
0.96414,2.23787,-0.76782,0.05287,0.04326,-0.59873,-0.4589,-0.21718,-0.33482,6.96958,-0.67461,-3.14705,1.0
-0.3666,-0.43846,-1.24835,-0.902,-0.66712,-0.59873,-0.4589,-0.82092,-0.64158,-0.14817,0.0812,1.03612,10.0
-0.12295,-0.13737,0.14794,-0.11298,-0.19977,-0.51807,-0.34379,-0.25371,-0.52506,-0.1418,-0.28623,-0.84143,6.0
0.00825,-0.43846,0.24711,-0.47985,-0.03775,-0.51807,-0.42053,-0.75281,-0.24717,-0.14817,-0.63674,-0.73439,6.0
-0.34786,-0.43846,0.42402,-0.26374,-0.29947,-0.51807,-0.42053,-0.74022,-0.47037,-0.14817,0.47079,-0.74959,8.0
0.36437,-0.43846,0.69703,0.16846,-0.19353,3.1117,4.721,0.1372,-0.47356,-0.13385,-0.64923,-0.54817,1.0
-0.31038,-0.37155,1.46404,0.02272,0.10557,-0.59873,-0.4589,-0.64045,-0.42179,-0.13703,-0.50983,0.28258,7.0
-0.31038,-0.43846,-0.68212,-0.41954,-0.26208,-0.0341,-0.42053,-0.4992,-0.45225,-0.14021,-0.45504,-0.61437,8.0
-0.29163,-0.37155,-0.42992,-0.15821,-0.48018,-0.0341,-0.15194,-0.60745,-0.56054,-0.13783,-0.43127,-0.61295,6.0
-0.3666,-0.43846,-0.78128,-0.69595,-0.71074,-0.67939,-0.49727,-0.39723,-0.61994,-0.14658,1.60088,1.19695,9.0
-0.2354,-0.37155,0.34015,0.33933,-0.00036,1.5025,0.38715,0.23729,0.13058,-0.13703,0.06871,-0.75974,2.0
0.57054,1.76951,0.04082,-0.31903,-0.36801,0.12722,-0.11357,0.00984,-0.12179,-0.13544,-0.42724,0.49601,6.0
-0.12295,-0.23773,0.68418,0.64589,0.90941,0.85318,0.11664,0.33056,0.9903,-0.12749,-0.56462,0.11526,2.0
-0.1042,0.16372,-0.39625,-0.66579,-0.51133,-0.67939,-0.49727,-0.64232,-0.45894,-0.14498,-0.59847,1.0018,9.0
-0.3666,-0.43846,-1.19386,-0.77636,-0.79174,-0.67939,-0.49727,0.60112,-0.31741,-0.14339,2.30754,1.27962,10.0
-0.29163,-0.405,-1.0543,-0.76128,-0.77928,-0.51807,-0.38216,-0.23324,-0.58448,-0.13703,1.82246,0.94053,9.0
-0.08546,-0.00355,-0.2928,-0.05769,0.23643,-0.43741,-0.34379,1.30583,1.67447,-0.14817,-0.07915,-0.56753,3.0
-0.32912,-0.43846,-1.12224,-0.81656,-0.6235,-0.67939,-0.49727,-0.67604,-0.40336,-0.14021,-0.54972,-0.56332,10.0
0.96414,1.23425,0.41851,1.04794,0.93434,-0.19542,-0.11357,0.68069,-0.24542,-0.1259,-0.58356,-0.81266,3.0
-0.25415,-0.405,-0.74823,-0.65072,-0.39294,-0.43741,-0.03683,-0.66936,-0.02647,-0.13385,-0.2959,0.51299,8.0
-0.34786,-0.43846,-0.55051,0.41974,0.11803,-0.51807,-0.34379,-0.08988,-0.16231,-0.12908,0.20448,0.94286,4.0
0.00825,0.43135,-0.88351,-0.706,-0.66089,-0.67939,-0.49727,-0.81489,-0.58019,-0.14339,-0.31,1.02701,7.0
-0.16043,0.06336,-1.24222,-0.83164,-0.72943,-0.67939,-0.49727,0.23588,-0.44313,-0.14498,3.00372,1.27801,10.0
-0.31038,-0.405,-0.49603,-0.39944,-0.56742,0.04656,-0.15194,-0.14725,-0.12419,-0.14021,2.62501,1.27113,5.0
-0.2354,-0.37155,-0.3987,-0.33913,-0.42409,-0.51807,-0.34379,-0.11554,-0.45175,-0.14021,-0.42402,-0.84553,6.0
-0.1042,-0.17082,-0.10916,-0.02251,-0.19977,0.04656,-0.0752,0.10219,0.61293,-0.11635,-0.63271,0.63045,5.0
-0.31038,-0.37155,0.11244,0.57553,0.47945,-0.51807,-0.11357,0.06161,1.51229,-0.13862,-0.54529,0.12691,5.0
1.50768,3.17458,3.8624,3.14363,2.59188,2.62773,0.15501,2.14402,2.67509,-0.14419,-0.42442,-0.74484,1.0
-0.34786,-0.43846,-1.28507,-0.99246,-0.84783,-0.43741,-0.30542,-0.77628,-0.63187,-0.14817,2.83692,1.28735,10.0
-0.06672,0.06336,-1.03042,-0.40446,-0.55495,-0.67939,-0.49727,0.13238,0.27218,-0.11954,-0.4776,0.98122,8.0
-0.27289,-0.405,0.17855,-0.14313,-0.5051,-0.51807,-0.30542,2.33707,-0.58343,-0.13385,0.32454,0.88606,7.0
