@relation computer1-10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.1042,-0.37155,-0.20893,0.22877,-0.25585,-0.19946,-0.19223,0.59099,-0.55466,-0.13385,-0.58759,-0.78601,6.0
-0.06672,-0.33809,1.40466,0.37451,0.3112,0.04656,0.27204,-0.17654,-0.26811,-0.12987,-0.47881,-0.75106,2.0
-0.25415,-0.30464,-0.41584,-0.314,-0.5051,-0.35675,-0.30542,0.2773,-0.52096,-0.1418,-0.54408,-0.80978,8.0
-0.34786,-0.43846,0.03164,-0.33913,0.2115,-0.59873,-0.42053,-0.50687,-0.59922,-0.11954,-0.37769,0.73423,8.0
-0.34786,-0.43846,0.43504,-0.37431,-0.23715,-0.67939,-0.49727,-0.57353,0.12384,-0.13703,-0.53562,0.71563,8.0
-0.02923,0.06336,0.24588,0.81677,0.03079,-0.19542,-0.03683,-0.02869,0.62752,-0.14817,-0.61539,-0.83971,4.0
-0.29163,-0.37155,-1.05185,-0.82159,-0.64842,-0.59873,-0.4589,-0.60656,-0.41446,-0.14419,-0.41677,-0.68495,9.0
-0.3666,-0.43846,-0.0914,-0.58538,-0.19353,-0.67939,-0.49727,-0.43981,-0.5324,-0.13067,-0.44215,0.94384,8.0
-0.25415,-0.37155,-0.01305,-0.16826,0.25512,0.85318,0.07827,-0.47012,0.84599,-0.13385,-0.4216,-0.73829,3.0
-0.3666,-0.43846,-1.31874,-1.02764,-0.86029,-0.67939,-0.49727,-0.82093,-0.61349,-0.14817,2.33131,1.30345,10.0
0.68299,2.13751,-0.39074,-0.26877,-0.18107,-0.27609,-0.22868,-0.68371,-0.28393,-0.14817,-0.6025,-0.86807,4.0
0.42059,0.49826,0.65173,0.0981,-0.3057,0.36921,0.11664,-0.14755,0.09283,-0.12113,0.53686,0.04174,5.0
-0.32912,-0.405,-1.11674,-0.706,-0.85406,-0.0341,-0.19031,0.65178,-0.56135,-0.14498,3.89208,1.31968,6.0
