@relation bank2-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute att21 real
@attribute att22 real
@attribute att23 real
@attribute att24 real
@attribute att25 real
@attribute att26 real
@attribute att27 real
@attribute att28 real
@attribute att29 real
@attribute att30 real
@attribute att31 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.38122,-1.53139,-0.47482,-0.25801,-0.76915,1.41069,1.46916,-1.61238,0.73896,-0.72405,-0.9484,-0.96167,0.12582,-1.42832,-0.79537,0.17293,1.37553,-0.79122,-0.89608,-1.5081,1.31793,1.88014,-0.11654,-1.30575,0.13582,0.6157,-1.28197,1.49644,-1.42247,2.43652,-1.09173,1.40521,3.0
0.30847,1.20233,0.4087,-0.48884,0.04157,0.63668,1.11195,-0.69351,-0.24939,-0.66971,-1.11474,-0.03704,-0.76701,0.9427,-0.63445,-0.84067,0.20156,-0.25308,-0.94128,-0.59117,-0.63993,-1.21938,-0.40881,-1.56884,-1.282,-0.60912,0.27558,-1.6439,-0.49913,2.43652,-1.31123,1.40521,5.0
0.29022,0.39683,2.13059,6.18509,-1.56784,-0.91623,-0.39345,-0.14209,-0.12829,-0.33485,-0.86565,-0.54277,-0.14017,1.60054,0.70076,-0.628,1.09327,0.92505,-1.56968,0.55728,-0.93704,0.02043,-0.07423,1.32383,0.15848,0.6157,0.56158,-1.49147,0.67592,-0.00664,0.014,-0.00206,3.0
1.09143,-1.17068,0.46267,-0.46874,1.13131,-0.1325,-1.05935,-0.79433,-0.76547,1.54202,0.35423,0.48193,0.64466,1.35015,1.05507,0.07895,-1.07611,-0.49076,-0.48308,0.27757,-1.5829,0.02043,-0.87414,-0.28451,-1.53527,-1.22154,-0.33536,1.51076,-1.24184,-0.00664,1.44021,-1.40934,4.0
0.67825,-1.03405,-0.18118,0.64318,-0.58146,-0.15037,-0.59779,0.39125,-1.00981,-0.83828,-0.27874,-0.39844,1.23886,-0.91705,-0.40943,0.53932,-1.34395,-0.96911,-0.25808,-0.41813,1.53459,1.26024,-1.65145,0.26601,1.49216,0.00329,1.52148,0.21308,1.49734,-1.22821,-1.45299,1.40521,1.0
1.18201,0.76585,1.58454,-0.88783,-0.20528,2.82525,-0.25501,-1.55497,3.86097,-0.95618,0.37487,-0.13623,0.64109,1.39927,-0.21125,-0.5151,-1.68619,-0.89622,1.73818,-0.32426,-0.45443,0.02043,0.49892,-1.42827,0.81269,-0.60912,0.3566,-0.51468,-1.59494,-0.61743,-0.05127,-1.40934,5.0
0.76034,-0.08348,-0.6684,-0.6052,-0.40967,-0.96625,1.47429,0.65285,0.57837,-0.72556,-0.46243,2.79088,-0.4865,0.70061,1.71215,0.61695,-1.32003,-0.96483,-1.80441,-0.14584,-0.69447,0.02043,0.36214,-0.28094,0.99574,-1.22154,0.49666,1.50802,0.00995,-0.61743,-0.87461,-1.40934,4.0
1.01519,0.76801,1.0504,-0.74721,-0.77373,1.1235,0.89039,0.84175,-0.84414,0.38785,0.56635,-0.01966,-0.82717,1.4838,0.33589,1.3286,1.11087,-0.67177,1.45085,1.5945,1.00485,0.02043,-0.67943,-0.79734,0.91403,0.00329,0.52235,1.13206,-0.35646,-1.22821,0.77454,-1.40934,3.0
1.25871,-1.02847,-0.05542,1.81968,-0.1542,0.36314,1.68859,-0.04236,-0.5568,0.1036,-1.35953,-0.76433,1.41138,1.06109,-0.28209,0.7066,-0.42975,0.84501,0.30431,0.44305,1.27355,0.02043,-0.91634,1.04655,0.1176,0.6157,0.19949,-0.25325,0.11518,-1.22821,-0.01886,0.70158,1.0
0.01896,1.36051,0.66955,-0.2736,0.2538,0.73846,0.85097,1.41064,-0.78138,-0.67404,0.15348,0.27652,-0.78418,1.27882,0.05352,-0.55707,-1.01833,-0.70463,0.35875,1.08082,0.42426,-1.21938,-1.06387,-0.97575,-1.2452,0.00329,0.86914,0.96131,-0.20264,-1.22821,0.46342,-1.40934,5.0
-0.02112,0.66375,0.35545,0.68403,-0.8995,-0.2772,-1.20915,-1.31577,-0.97912,1.45583,0.80607,-0.08784,-0.08761,-0.47238,-0.35357,-0.82449,-0.96588,-0.68375,0.17128,1.36928,-0.49663,-1.21938,0.46346,0.45323,1.35647,-0.60912,-0.66494,-0.53783,0.90894,-0.00664,1.42516,-1.40934,4.0
-0.31482,-0.08673,-0.52374,-0.86946,-1.58361,-0.75209,0.77074,0.55414,-0.71341,0.07194,0.11493,0.34024,-0.2425,-0.40341,1.45396,-0.63791,1.43914,-0.73519,0.55687,-0.061,0.40994,2.50005,-0.27164,-0.72095,1.62944,-0.60912,-1.61981,0.67652,-0.8164,-0.00664,1.16478,1.40521,2.0
-1.08336,0.0327,0.44678,-0.15439,-1.7258,-0.43022,-1.08486,0.58988,-0.87956,1.04827,-0.75731,0.32743,1.65544,-0.64709,-0.79671,-0.84175,-1.44908,0.6957,0.0851,-0.83042,1.42799,-1.21938,-0.56842,0.5572,0.59165,0.00329,-1.31886,0.03479,0.22458,2.43652,1.59356,1.40521,4.0
0.47383,-1.4563,-0.68977,0.07861,1.55715,-0.99898,-1.5885,0.54533,0.44486,2.45836,0.15172,-0.36599,-0.16449,-1.53179,0.17206,-0.86225,0.31862,-0.34339,-1.84394,-0.62293,0.06962,-0.59947,0.47133,-1.56545,-0.45336,-1.22154,0.83297,-0.33177,-0.25813,1.82573,1.45831,1.40521,1.0
1.68714,0.98923,0.46726,-0.8946,0.97426,-0.46914,-1.28721,-1.50306,-0.16389,0.01741,0.59874,-0.86422,-0.65328,1.49859,0.08042,-0.91708,-0.95912,0.72539,-0.31704,-1.3116,-0.53519,-1.21938,1.32223,0.08086,1.46422,0.00329,-0.27087,1.49417,-0.80549,-0.00664,-0.95405,-0.7057,1.0
0.1344,-0.43825,-0.14545,-0.97529,0.67301,-0.48234,0.11099,-1.43841,-0.23077,-0.78994,0.92952,-0.90149,-1.46642,0.55634,0.66044,-0.71466,-0.84095,-0.61219,0.2865,-1.11855,-0.31977,1.88014,-0.06432,-0.96615,-1.51997,0.00329,0.7381,0.50163,1.14011,-0.00664,-0.37771,0.70158,2.0
0.85065,1.07009,-0.70744,1.17916,1.06071,3.33936,0.16312,0.88822,-0.83719,-0.25602,-0.28056,-0.74867,1.69303,-1.15742,-0.3693,-0.94814,-0.20711,-0.44544,-1.78623,0.54656,1.19497,0.02043,0.21535,-1.51842,-1.39585,-1.22154,0.1355,-0.53468,-0.28905,-0.61743,1.46886,-1.40934,2.0
0.5963,-0.0169,0.53571,0.19062,1.41825,-0.75001,1.04937,-1.64951,-0.93055,-0.19173,-1.20606,0.1765,0.853,0.42334,-0.74025,0.96305,-1.63951,-0.6753,0.38214,-0.30467,-0.94056,-0.59947,1.41343,-0.52728,-0.08562,-0.60912,-0.9038,-0.96359,0.5712,0.60415,-0.37051,1.40521,1.0
-1.15792,0.74648,1.85244,-0.85697,0.10617,-0.80328,-0.81764,-1.70684,0.10501,0.49984,0.17702,0.72548,-1.17219,1.6753,-0.42591,0.60019,-0.89376,0.53856,-0.18083,-0.11283,-1.07143,-1.21938,-1.47933,-0.41756,1.57921,-1.22154,-1.63888,1.33144,-0.18328,-0.00664,0.28085,-1.40934,5.0
-1.20477,-0.10103,-0.75911,-0.25862,1.67472,-0.64858,-0.81396,-1.16929,1.3948,0.35527,-0.71584,-0.44615,0.04902,-0.86191,-0.54813,-0.90912,1.28605,1.13083,-0.59786,1.03872,1.34779,0.02043,1.61526,-1.65661,-1.09327,1.22812,0.88952,1.18006,1.30171,-0.61743,1.40039,0.70158,4.0
1.26004,-1.41124,1.1902,-0.05144,1.03758,-0.77205,0.37125,0.71833,3.24557,1.579,-1.54574,1.10902,-1.4601,0.21578,-0.95549,-0.11497,-0.7282,1.90115,1.63079,0.51443,-0.25339,-1.21938,0.55014,-0.18082,-1.44884,0.00329,0.67986,-0.82012,-0.467,-0.00664,-1.19687,-1.40934,5.0
-1.42826,-0.66095,-0.87618,0.84457,-0.13133,0.46891,-0.55836,-0.56563,0.72622,1.37829,-0.66294,-0.98127,1.23895,-1.15793,-0.55292,-0.59125,1.07741,1.16329,0.06815,-0.46751,-0.12784,-0.59947,1.6853,1.05982,1.41973,0.00329,-1.52772,-0.20935,0.74576,0.60415,0.0391,-0.7057,5.0
0.24276,-0.87226,0.54838,0.30699,-1.62198,0.70061,-1.18245,1.49157,-0.64559,0.03371,1.0548,-0.49688,-0.02715,-0.39689,-0.45534,-0.95048,-0.95935,1.90528,0.54365,1.56483,-1.03842,0.64034,1.55783,1.73809,-1.38076,-1.22154,-0.32487,0.49758,-0.60922,1.82573,0.82499,0.70158,5.0
-0.30811,-1.06251,-0.75657,0.77698,1.27075,0.33583,-1.11458,-0.23238,-0.96763,0.42037,1.0284,-0.82582,-1.58693,-0.28909,1.18591,-0.59038,1.19303,-0.88572,1.26398,1.05517,-1.15289,-1.21938,0.07597,1.25786,0.07256,-0.60912,-1.35438,1.26868,-0.85638,-1.22821,1.74757,-1.40934,3.0
0.05877,-0.34719,-0.33814,-0.52499,1.06216,0.44395,-0.54008,-1.1913,-0.85702,-0.84577,1.57017,-0.38984,0.07575,0.29558,0.62347,1.17381,-0.76641,-0.74761,-0.77557,0.2815,-0.6629,-0.59947,-1.14141,-0.46259,0.67063,-1.22154,-0.30473,0.71478,1.25229,-0.00664,-0.64754,-0.7057,4.0
-0.0179,0.27259,1.63948,-0.08259,0.95214,-0.65574,-0.59285,0.58541,0.05676,-0.34643,0.31419,-0.43412,1.1858,1.11993,0.47274,2.05458,-1.26014,-0.53076,1.21754,0.85093,0.24064,-0.59947,1.2161,1.07757,-0.72946,0.00329,-0.47257,0.93867,1.60233,-1.22821,-0.37815,-1.40934,2.0
-1.13742,-1.31398,-0.7768,-0.64505,1.25141,-0.30799,-0.06241,-1.03989,0.23651,-0.86735,1.21818,0.20073,-0.30297,0.41951,0.14108,-0.94473,1.60854,-0.11523,0.60581,-1.26636,1.45656,1.26024,-0.71751,-0.01137,0.69438,0.00329,1.09975,0.50588,-1.20967,-1.22821,-0.53173,1.40521,2.0
0.1906,-1.65885,1.44527,-0.93073,-0.71677,-0.75045,0.03612,0.21165,-0.99414,-0.62763,0.24206,-0.4883,0.87757,-0.94382,1.09832,-0.34447,1.696,-0.90794,-1.47895,-0.70569,0.0821,-0.59947,0.88884,0.90378,0.95152,2.45294,-0.04621,-1.25622,1.08355,-0.61743,-0.69074,1.40521,1.0
-1.04721,-0.13029,-0.33387,-0.81902,1.14678,0.4354,0.16004,0.56112,-0.12027,-0.91779,0.26042,-0.72196,1.34203,0.61881,-0.62374,-0.09597,-0.93976,-0.79699,0.90758,-1.44147,-1.26021,0.02043,-1.10411,0.31848,-0.32686,-1.22154,0.39303,0.53521,-1.27442,-0.00664,0.53531,-1.40934,3.0
0.46506,1.17862,-0.73997,-0.89758,-1.03726,-0.59554,1.0455,1.53685,0.64339,0.12227,1.04645,-0.86369,0.5315,-1.66354,-0.65475,-0.48196,-0.94051,2.04395,-0.66921,0.31152,0.85998,1.88014,-1.16367,-1.0158,-1.6903,-1.22154,-0.59045,0.24371,-1.67714,-0.00664,1.41483,0.70158,4.0
