@relation abalone10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.7594,1.48167,-0.68794,0.54964,0.52518,0.1311,0.32986,0.42184,0.36406,0.25983,3.0
-0.7594,-0.67475,1.45328,0.05003,0.22288,0.01156,-0.30943,-0.27648,-0.76718,-0.06344,3.0
1.31652,-0.67475,-0.68794,1.79867,1.28092,1.08742,1.67471,1.68782,2.46233,0.69086,9.0
-0.7594,-0.67475,1.45328,-0.53285,-0.63363,-0.4666,-0.84268,-0.727,-0.84016,-0.94704,2.0
-0.7594,1.48167,-0.68794,-0.99083,-0.83516,-0.70568,-0.96096,-0.96578,-0.98613,-0.92549,9.0
-0.7594,-0.67475,1.45328,-0.99083,-1.03669,-1.18384,-1.1139,-1.10544,-1.12297,-1.03325,2.0
-0.7594,-0.67475,1.45328,0.50801,0.42441,0.25064,0.12798,0.1718,0.20897,0.10179,3.0
1.31652,-0.67475,-0.68794,-0.44959,-0.38171,0.96788,-0.64998,-0.75629,-0.47524,-0.54834,4.0
1.31652,-0.67475,-0.68794,0.92435,1.02901,0.7288,1.07416,1.16971,1.13495,1.08596,4.0
-0.7594,-0.67475,1.45328,0.17493,-0.07942,-0.22752,-0.29108,-0.13907,-0.32016,-0.42263,4.0
1.31652,-0.67475,-0.68794,-0.69939,-0.4321,-0.34706,-0.63774,-0.64816,-0.60753,-0.60222,6.0
-0.7594,-0.67475,1.45328,1.17416,0.92824,0.7288,0.95589,1.09988,1.00723,0.86686,4.0
-0.7594,-0.67475,1.45328,-1.15737,-1.13746,-1.30338,-1.17303,-1.155,-1.12297,-1.10509,2.0
-0.7594,1.48167,-0.68794,1.4656,1.48246,1.9242,1.70733,1.29586,2.26163,1.55291,8.0
1.31652,-0.67475,-0.68794,1.13252,0.92824,0.60926,1.00075,1.38596,0.80652,0.73396,5.0
-0.7594,-0.67475,1.45328,0.3831,0.37403,0.37018,0.07802,0.05015,-0.09208,0.29575,4.0
-0.7594,1.48167,-0.68794,0.84108,1.12978,0.96788,1.0711,0.56375,1.5546,0.97821,8.0
-0.7594,1.48167,-0.68794,0.79945,0.92824,0.25064,0.94671,1.06609,1.21249,0.82735,6.0
1.31652,-0.67475,-0.68794,0.50801,0.67633,-0.4666,0.23707,0.22811,0.28196,0.29575,9.0
1.31652,-0.67475,-0.68794,0.3831,0.27326,-0.34706,0.13817,0.10647,0.02651,0.25983,4.0
-0.7594,1.48167,-0.68794,0.59127,0.52518,0.37018,0.44201,0.43761,0.54196,0.50049,7.0
1.31652,-0.67475,-0.68794,0.42474,0.62595,0.25064,0.63777,0.41508,0.21353,1.1578,9.0
1.31652,-0.67475,-0.68794,1.29906,1.12978,1.3265,1.274,1.04807,1.91952,1.2476,6.0
-0.7594,-0.67475,1.45328,-1.11574,-1.08708,-0.94476,-1.14652,-1.12121,-1.10929,-1.11227,2.0
-0.7594,1.48167,-0.68794,1.34069,1.18016,0.84834,1.79706,0.82055,1.17144,2.45088,10.0
-0.7594,-0.67475,1.45328,-1.40718,-1.43976,-1.30338,-1.19342,-1.0694,-1.16859,-1.28468,1.0
-0.7594,-0.67475,1.45328,-1.03247,-1.43976,-0.94476,-1.12409,-1.05814,-1.0956,-1.141,5.0
-0.7594,-0.67475,1.45328,0.05003,0.12212,1.08742,-0.15649,-0.27197,-0.22437,-0.24303,10.0
-0.7594,1.48167,-0.68794,1.50723,1.53284,1.56558,3.16536,2.84792,2.91847,2.76697,6.0
-0.7594,-0.67475,1.45328,-1.99006,-2.04435,-1.662,-1.47381,-1.44334,-1.38753,-1.47146,1.0
1.31652,-0.67475,-0.68794,0.84108,0.72671,0.1311,0.52256,0.47365,0.58301,0.63339,6.0
1.31652,-0.67475,-0.68794,0.09166,0.12212,-0.22752,-0.0474,-0.26296,0.00371,0.29575,9.0
-0.7594,1.48167,-0.68794,0.84108,1.07939,0.25064,0.84169,0.73946,1.14863,0.87045,10.0
1.31652,-0.67475,-0.68794,-1.61535,-1.94359,-1.54246,-1.45648,-1.41631,-1.40578,-1.46427,1.0
-0.7594,1.48167,-0.68794,0.88272,1.02901,1.08742,0.82844,0.6854,1.53635,0.48612,8.0
-0.7594,-0.67475,1.45328,0.05003,0.12212,-0.22752,-0.34818,-0.28549,-0.51174,-0.29332,4.0
-0.7594,-0.67475,1.45328,-2.82275,-2.8001,-2.2597,-1.63083,-1.56498,-1.57912,-1.64746,1.0
1.31652,-0.67475,-0.68794,0.46637,0.67633,0.25064,0.28805,0.11548,0.32757,0.79861,7.0
1.31652,-0.67475,-0.68794,0.3831,0.52518,0.25064,0.4257,0.82055,0.20897,0.08024,4.0
-0.7594,-0.67475,1.45328,-0.32468,0.07173,0.01156,-0.52661,-0.49273,-0.42507,-0.38671,3.0
-0.7594,-0.67475,1.45328,-1.40718,-1.49014,-1.18384,-1.29742,-1.27214,-1.30087,-1.24876,3.0
-0.7594,-0.67475,1.45328,-0.61612,-0.53286,-0.70568,-0.755,-0.74502,-1.0363,-0.70998,3.0
-0.7594,1.48167,-0.68794,0.88272,0.92824,0.84834,0.57456,0.48491,0.7974,0.64775,6.0
-0.7594,-0.67475,1.45328,-0.32468,-0.28095,-0.4666,-0.72645,-0.6842,-0.66683,-0.65969,1.0
1.31652,-0.67475,-0.68794,0.2582,0.27326,-0.10798,0.05966,0.07944,-0.20156,0.36759,10.0
-0.7594,1.48167,-0.68794,-0.44959,-0.4321,-0.4666,-0.58268,-0.58509,-0.28366,-0.63814,5.0
-0.7594,1.48167,-0.68794,0.54964,0.57556,0.25064,0.65715,1.14268,0.53284,0.09101,4.0
-0.7594,1.48167,-0.68794,0.71618,0.82748,0.7288,0.71119,0.92868,0.52827,0.40351,10.0
-0.7594,1.48167,-0.68794,1.00762,1.18016,1.44604,1.26483,1.08862,0.69249,1.9121,9.0
-0.7594,-0.67475,1.45328,0.2582,0.1725,0.1311,-0.07798,-0.04896,-0.03735,-0.09936,4.0
1.31652,-0.67475,-0.68794,1.04925,1.07939,0.96788,1.02522,0.93319,1.51811,1.19372,9.0
1.31652,-0.67475,-0.68794,0.59127,0.77709,0.25064,0.5195,0.771,0.45985,0.26701,3.0
1.31652,-0.67475,-0.68794,0.79945,0.72671,0.25064,0.55621,0.61782,0.56933,0.47534,6.0
-0.7594,-0.67475,1.45328,-0.32468,-0.23057,-0.22752,-0.5317,-0.49048,-0.02366,-0.60941,2.0
1.31652,-0.67475,-0.68794,-1.03247,-1.18784,-0.58614,-1.12001,-1.11671,-1.12297,-1.17692,4.0
-0.7594,1.48167,-0.68794,0.46637,0.32365,0.84834,0.49809,0.18531,0.49178,0.69086,10.0
-0.7594,1.48167,-0.68794,-1.19901,-1.03669,-0.82522,-1.11695,-1.14824,-1.08648,-1.06917,8.0
1.31652,-0.67475,-0.68794,-1.19901,-1.18784,-0.4666,-1.11288,-1.08968,-1.04999,-1.10509,4.0
-0.7594,-0.67475,1.45328,0.54964,0.52518,0.1311,0.14837,0.26866,-0.0191,0.15207,7.0
1.31652,-0.67475,-0.68794,0.71618,0.67633,0.7288,0.40327,0.34074,0.48266,0.46457,6.0
-0.7594,1.48167,-0.68794,0.92435,0.77709,1.20696,1.11699,1.23729,0.98442,1.2009,8.0
-0.7594,1.48167,-0.68794,1.04925,1.38169,2.16328,1.8827,0.90615,0.99354,4.13907,10.0
1.31652,-0.67475,-0.68794,-0.90756,-0.88554,-0.94476,-1.07719,-1.07165,-1.12297,-0.96859,8.0
