@relation census2-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
0.25435,-0.16432,-0.41396,0.09468,0.11103,-0.85414,0.10715,-1.0165,0.17159,1.03808,-0.48162,-0.40526,0.2064,0.87427,-0.57524,-0.47728,4.0
0.08787,-0.47712,-0.30748,0.41905,0.18828,0.09712,-0.35527,-0.2192,-0.49001,0.08533,-0.69973,-0.29908,0.21521,-0.09722,-0.91442,-0.4637,5.0
-0.1169,2.2982,-0.42394,-1.23147,-0.30644,1.17512,-0.35527,1.03502,-0.7037,-1.12498,1.89365,-0.41082,0.32971,4.02582,-1.19221,-1.48234,1.0
-0.10858,-0.49672,-0.40374,0.38804,-0.12794,0.66563,-0.35527,0.67683,0.05625,-0.60062,1.01633,-0.41082,0.25215,0.27934,0.2882,1.05676,1.0
-0.08436,-0.53121,-0.01202,0.31952,0.40539,0.00211,-0.29367,-0.4472,-0.28024,-0.17535,-0.1233,0.1067,0.28649,-0.02126,-0.54311,0.24062,3.0
0.20352,0.7439,-0.3621,-1.20982,-1.24179,0.61783,-0.1828,0.90154,-0.0428,0.36183,-0.68992,-0.34853,-0.61316,-0.6427,0.09612,0.15088,5.0
-0.05387,0.15033,2.22645,-1.37475,-1.1752,0.83733,-0.35527,0.93938,0.01082,0.45269,-0.26093,2.03417,0.19116,0.43266,0.67468,0.18121,3.0
-0.11675,3.21393,-0.42394,-0.87844,0.01607,0.06112,-0.35527,0.5389,9.61545,0.65509,-0.80138,-0.41082,-0.19686,-0.74527,2.50881,-1.48234,4.0
-0.05764,0.45371,0.67764,-0.21241,0.08401,0.19288,0.05103,0.3652,0.34197,-0.06525,-0.20084,0.61437,0.23633,-0.06037,0.16785,-1.08032,3.0
-0.11639,-0.32833,-0.42394,0.76375,0.44329,-0.25285,-0.35527,-0.81327,-0.7037,-0.03397,0.03549,-0.41082,0.32971,-1.10338,-1.19221,1.53284,1.0
-0.09887,0.16806,-0.00982,-0.40675,-0.57655,1.21396,-0.35527,1.71221,-0.7037,-0.91182,-0.83021,-0.08024,0.32971,-1.38731,-0.58659,-1.48234,3.0
-0.08905,0.45041,-0.29436,-0.67456,-0.61083,1.01282,-0.35527,1.26078,0.46161,-0.57218,-0.79752,-0.26203,0.04725,-1.5525,0.17132,1.53284,5.0
-0.05134,-0.02218,-0.34911,-0.4003,-0.29155,0.33913,-0.20642,0.15754,0.2527,-0.21758,-0.44498,-0.33667,0.14059,-0.03428,-0.2579,-0.71251,5.0
-0.10995,0.66621,-0.42394,0.75168,0.99491,-0.19365,-0.35527,-1.03185,-0.7037,-0.24268,-0.46545,-0.41082,0.28621,-0.57032,-0.86565,1.53284,2.0
-0.08548,-0.28005,-0.41177,-0.03409,0.36291,-0.32732,0.16226,-0.62498,-0.01494,-0.2141,0.25345,-0.38569,0.21256,0.58841,-0.15832,1.03031,3.0
