@relation census2-5
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute att6 real
@attribute att7 real
@attribute att8 real
@attribute att9 real
@attribute att10 real
@attribute att11 real
@attribute att12 real
@attribute att13 real
@attribute att14 real
@attribute att15 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.11749,-0.58127,-0.42394,0.30456,1.6702,-0.67931,-0.35527,-1.18293,-0.7037,1.05704,0.26776,-0.41082,0.32971,-0.6177,-1.19221,1.53284,1.0
-0.09524,0.11596,-0.40236,-0.53104,-0.75781,1.06261,-0.35527,1.50778,-0.34394,-0.25618,-0.55089,-0.39769,-0.99202,-1.49738,0.32184,0.14122,5.0
-0.009,-0.1098,0.54571,-0.3784,-0.05678,-0.23784,0.60359,0.24405,0.35001,0.09544,-0.14496,0.54193,0.17224,0.0672,0.21142,0.66179,3.0
0.06887,-0.10916,-0.36866,-0.44836,-0.69361,-0.26867,-0.17687,-0.39987,0.1732,1.27462,-0.627,-0.36283,0.19344,0.38794,-0.72958,-1.06645,5.0
-0.09658,-0.95141,-0.42394,0.67713,1.12608,-0.32623,-0.1036,-0.755,0.58407,-0.29195,-0.39386,-0.41082,0.31328,0.63371,-0.35331,-0.47728,1.0
0.15535,-0.65483,1.13762,0.00889,0.41032,0.14014,0.08686,0.10861,0.09705,-0.39852,0.26639,1.15795,-0.24839,0.0271,0.43376,0.43319,3.0
0.05059,-0.14719,-0.06413,1.00287,0.89916,-1.13514,-0.08288,-1.33855,0.07681,1.56779,0.00552,-0.11185,0.1923,1.04994,-0.48969,-0.48559,4.0
-0.11769,-0.00484,-0.42394,1.73588,1.5058,0.30111,-0.35527,-0.08935,-0.7037,-1.12498,1.53128,-0.41082,0.32971,2.24681,-1.19221,1.53284,1.0
-0.11658,0.19058,-0.42394,0.56427,-0.27303,0.60599,-0.35527,1.09082,2.99561,0.15129,0.57917,-0.41082,0.32971,-0.87683,-1.19221,0.9298,1.0
-0.1086,0.14825,-0.22162,0.29686,0.79611,0.22184,-0.35527,-0.14392,-0.00347,-0.8834,0.11074,-0.232,0.32971,0.41425,-0.72307,0.02525,2.0
-0.10398,-0.08253,-0.32721,0.64565,0.18922,-0.17299,-0.35527,-0.69569,0.24119,-0.39151,-0.30917,-0.30741,0.28149,0.01249,-0.69654,1.03031,3.0
0.15699,0.09214,-0.26879,-1.16326,-0.98283,0.41535,-0.09826,0.52838,0.33903,0.14471,-0.40847,-0.27992,0.1513,-0.00372,0.49702,-0.68043,4.0
-0.10802,-1.09694,-0.42394,2.10578,1.49468,-0.94067,1.54651,-0.14077,-0.7037,-0.86482,-0.21532,-0.41082,0.32971,-0.83591,-0.92785,0.9298,2.0
-0.11306,0.77261,-0.38723,-0.38449,-0.26102,0.51465,-0.35527,0.47238,-0.7037,0.11845,0.52035,-0.35823,-0.25881,-0.62788,-0.30396,0.02525,4.0
